period,case_prefix,loss_basis,metric,parameter,value_2022_usd,tail_count,headline_supported,declared_years
TRAINING,c1,unfunded,aep_pml,100,0,10000,True,1000000
TRAINING,c1,unfunded,aep_pml,250,0,4000,True,1000000
TRAINING,c1,unfunded,aep_pml,500,463159.46992121288,2000,True,1000000
TRAINING,c1,unfunded,aep_pml,1000,18800364.562742729,1000,True,1000000
TRAINING,c1,unfunded,aep_pml,2500,66835851.884452187,400,True,1000000
TRAINING,c1,unfunded,aep_pml,5000,105374710.24548677,200,True,1000000
TRAINING,c1,unfunded,aep_pml,10000,136145790.74796519,100,True,1000000
TRAINING,c1,unfunded,aep_pml,50000,193031456.01851764,20,True,1000000
TRAINING,c1,unfunded,aep_pml,100000,217334404.5336498,10,False,1000000
TRAINING,c1,unfunded,aep_pml,1000000,260395402.41391292,1,False,1000000
TRAINING,c1,unfunded,var,0.98999999999999999,0,10001,True,1000000
TRAINING,c1,unfunded,tvar,0.98999999999999999,7522411.9279659968,10001,True,1000000
TRAINING,c1,unfunded,tvar_minus_mean,0.98999999999999999,7447180.2862744089,10001,True,1000000
TRAINING,c1,unfunded,var,0.995,0,5001,True,1000000
TRAINING,c1,unfunded,tvar,0.995,15043319.674382711,5001,True,1000000
TRAINING,c1,unfunded,tvar_minus_mean,0.995,14968088.032691123,5001,True,1000000
TRAINING,c2,gross,aep_pml,100,0,10000,True,1000000
TRAINING,c2,gross,aep_pml,250,0,4000,True,1000000
TRAINING,c2,gross,aep_pml,500,9503670.6275761537,2000,True,1000000
TRAINING,c2,gross,aep_pml,1000,41375758.244720683,1000,True,1000000
TRAINING,c2,gross,aep_pml,2500,96089945.334448725,400,True,1000000
TRAINING,c2,gross,aep_pml,5000,135240864.32658958,200,True,1000000
TRAINING,c2,gross,aep_pml,10000,166724454.35946578,100,True,1000000
TRAINING,c2,gross,aep_pml,50000,225898102.76775232,20,True,1000000
TRAINING,c2,gross,aep_pml,100000,248837462.80024812,10,False,1000000
TRAINING,c2,gross,aep_pml,1000000,287606602.91566622,1,False,1000000
TRAINING,c2,gross,var,0.98999999999999999,0,10001,True,1000000
TRAINING,c2,gross,tvar,0.98999999999999999,12302235.200412272,10001,True,1000000
TRAINING,c2,gross,tvar_minus_mean,0.98999999999999999,12179200.546172949,10001,True,1000000
TRAINING,c2,gross,var,0.995,0,5001,True,1000000
TRAINING,c2,gross,tvar,0.995,24602010.445775472,5001,True,1000000
