source_type,candidate_id,attachment_index,distance_decay,tier_step,normalized_training_mse,training_occurrences,selected
INTERFACE,133,7,1,0.25,0.52339968480529619,3364,False
INTERFACE,134,7,1,0.5,0.32514188893905765,3364,False
INTERFACE,135,7,1,0.75,0.17351294712912244,3364,False
INTERFACE,136,7,1,1,0.12985750501365254,3364,False
INTERFACE,137,7,1.5,0.25,0.43920999923964005,3364,False
INTERFACE,138,7,1.5,0.5,0.28691575203961123,3364,False
INTERFACE,139,7,1.5,0.75,0.15435577320555033,3364,False
INTERFACE,140,7,1.5,1,0.11724491534009512,3364,False
INTERFACE,141,7,2,0.25,0.37565971613540827,3364,False
INTERFACE,142,7,2,0.5,0.21745002510118328,3364,False
INTERFACE,143,7,2,0.75,0.12076701055163439,3364,False
INTERFACE,144,7,2,1,0.10689800142388828,3364,False
INTERFACE,145,7.25,0.5,0.25,0.55286737358163829,3364,False
INTERFACE,146,7.25,0.5,0.5,0.31025979921280039,3364,False
INTERFACE,147,7.25,0.5,0.75,0.16911896953913164,3364,False
INTERFACE,148,7.25,0.5,1,0.13063349868999583,3364,False
INTERFACE,149,7.25,1,0.25,0.4441899485172594,3364,False
INTERFACE,150,7.25,1,0.5,0.24229839827423003,3364,False
INTERFACE,151,7.25,1,0.75,0.13708482309201964,3364,False
INTERFACE,152,7.25,1,1,0.11717728984502407,3364,False
INTERFACE,153,7.25,1.5,0.25,0.37384427256460939,3364,False
INTERFACE,154,7.25,1.5,0.5,0.1985395890321292,3364,False
INTERFACE,155,7.25,1.5,0.75,0.11806815487530285,3364,False
INTERFACE,156,7.25,1.5,1,0.10585107615765724,3364,False
INTERFACE,157,7.25,2,0.25,0.328276253038224,3364,False
INTERFACE,158,7.25,2,0.5,0.15784068836015613,3364,False
INTERFACE,159,7.25,2,0.75,0.10521984263932593,3364,False
INTERFACE,160,7.25,2,1,0.099134382112508829,3364,False
INTERFACE,161,7.5,0.5,0.25,0.46333801654961032,3364,False
INTERFACE,162,7.5,0.5,0.5,0.22965615512687185,3364,False
INTERFACE,163,7.5,0.5,0.75,0.13684793837808634,3364,False
INTERFACE,164,7.5,0.5,1,0.1156125945428714,3364,False
INTERFACE,165,7.5,1,0.25,0.36610033983407664,3364,False
INTERFACE,166,7.5,1,0.5,0.16122052083682606,3364,False
INTERFACE,167,7.5,1,0.75,0.1135133044377694,3364,False
INTERFACE,168,7.5,1,1,0.10732080751847244,3364,False
INTERFACE,169,7.5,1.5,0.25,0.30880419335696102,3364,False
INTERFACE,170,7.5,1.5,0.5,0.14538216633928219,3364,False
INTERFACE,171,7.5,1.5,0.75,0.1035904287361544,3364,False
INTERFACE,172,7.5,1.5,1,0.10218139822361796,3364,False
INTERFACE,173,7.5,2,0.25,0.2705323687516954,3364,False
INTERFACE,174,7.5,2,0.5,0.11066321315531458,3364,False
INTERFACE,175,7.5,2,0.75,0.095771213384850937,3364,False
INTERFACE,176,7.5,2,1,0.10354137441364557,3364,False
INTERFACE,177,7.75,0.5,0.25,0.35837901577473874,3364,False
INTERFACE,178,7.75,0.5,0.5,0.14569207169023732,3364,False
INTERFACE,179,7.75,0.5,0.75,0.11211972890672395,3364,False
INTERFACE,180,7.75,0.5,1,0.11212219109268663,3364,False
INTERFACE,181,7.75,1,0.25,0.26243635346167871,3364,False
INTERFACE,182,7.75,1,0.5,0.11724835802871805,3364,False
INTERFACE,183,7.75,1,0.75,0.10224932186577457,3364,False
INTERFACE,184,7.75,1,1,0.10785481112750658,3364,False
INTERFACE,185,7.75,1.5,0.25,0.23316320614151057,3364,False
INTERFACE,186,7.75,1.5,0.5,0.10522260467246743,3364,False
INTERFACE,187,7.75,1.5,0.75,0.098196933911286866,3364,False
INTERFACE,188,7.75,1.5,1,0.1071181133135574,3364,False
INTERFACE,189,7.75,2,0.25,0.17550475120140532,3364,False
INTERFACE,190,7.75,2,0.5,0.094363828626315691,3364,True
INTERFACE,191,7.75,2,0.75,0.10148763023477879,3364,False
INTERFACE,192,7.75,2,1,0.11137163795902759,3364,False
INTERFACE,193,8,0.5,0.25,0.23294833925479513,3364,False
INTERFACE,194,8,0.5,0.5,0.11357980691465359,3364,False
INTERFACE,195,8,0.5,0.75,0.10733067126746033,3364,False
INTERFACE,196,8,0.5,1,0.11413011702784208,3364,False
INTERFACE,197,8,1,0.25,0.16956081643890697,3364,False
INTERFACE,198,8,1,0.5,0.09926501091236048,3364,False
INTERFACE,199,8,1,0.75,0.10422414075376096,3364,False
INTERFACE,200,8,1,1,0.11410814847800976,3364,False
INTERFACE,201,8,1.5,0.25,0.15151436680237393,3364,False
INTERFACE,202,8,1.5,0.5,0.097146683470681852,3364,False
INTERFACE,203,8,1.5,0.75,0.10542150345262084,3364,False
INTERFACE,204,8,1.5,1,0.11195557664036197,3364,False
INTERFACE,205,8,2,0.25,0.1135207119513771,3364,False
INTERFACE,206,8,2,0.5,0.10297966483640908,3364,False
INTERFACE,207,8,2,0.75,0.11286367256065788,3364,False
INTERFACE,208,8,2,1,0.1204292631997794,3364,False
INTERFACE,209,8.25,0.5,0.25,0.14753460929548942,3364,False
INTERFACE,210,8.25,0.5,0.5,0.10259432038646137,3364,False
INTERFACE,211,8.25,0.5,0.75,0.10939376614684312,3364,False
INTERFACE,212,8.25,0.5,1,0.1232447247940677,3364,False
INTERFACE,213,8.25,1,0.25,0.11687950567108561,3364,False
INTERFACE,214,8.25,1,0.5,0.10417378678905499,3364,False
INTERFACE,215,8.25,1,0.75,0.11405779451330378,3364,False
INTERFACE,216,8.25,1,1,0.12162338515242528,3364,False
INTERFACE,217,8.25,1.5,0.25,0.11729805355591025,3364,False
INTERFACE,218,8.25,1.5,0.5,0.11109792380942055,3364,False
INTERFACE,219,8.25,1.5,0.75,0.11763199699716169,3364,False
INTERFACE,220,8.25,1.5,1,0.12519758763628319,3364,False
INTERFACE,221,8.25,2,0.25,0.112455650855368,3364,False
INTERFACE,222,8.25,2,0.5,0.12169329915928527,3364,False
INTERFACE,223,8.25,2,0.75,0.12925888979840677,3364,False
INTERFACE,224,8.25,2,1,0.12925888979840677,3364,False
INTERFACE,225,8.5,0.5,0.25,0.11117786781803386,3364,False
INTERFACE,226,8.5,0.5,0.5,0.1117257157452597,3364,False
INTERFACE,227,8.5,0.5,0.75,0.12557667439248429,3364,False
INTERFACE,228,8.5,0.5,1,0.12557667439248429,3364,False
INTERFACE,229,8.5,1,0.25,0.12773714783051623,3364,False
INTERFACE,230,8.5,1,0.5,0.1369747961344335,3364,False
INTERFACE,231,8.5,1,0.75,0.14454038677355499,3364,False
INTERFACE,232,8.5,1,1,0.14454038677355499,3364,False
INTERFACE,233,8.5,1.5,0.25,0.13257049442054358,3364,False
INTERFACE,234,8.5,1.5,0.5,0.13845820818795321,3364,False
INTERFACE,235,8.5,1.5,0.75,0.1460237988270747,3364,False
INTERFACE,236,8.5,1.5,1,0.1460237988270747,3364,False
INTERFACE,237,8.5,2,0.25,0.16777350775050559,3364,False
INTERFACE,238,8.5,2,0.5,0.17533909838962708,3364,False
INTERFACE,239,8.5,2,0.75,0.17533909838962708,3364,False
INTERFACE,240,8.5,2,1,0.17533909838962708,3364,False
INTERFACE,241,8.75,0.5,0.25,0.14595082953645425,3364,False
INTERFACE,242,8.75,0.5,0.5,0.15980178818367882,3364,False
