chunk_id,rows,occurrences,minimum_occurrence_ordinal,maximum_occurrence_ordinal,sampled_loss_sum_2022_usd,analytical_expected_loss_sum_2022_usd,input_cell4_path,input_cell4_sha256,output_path,output_size_bytes,output_sha256,marker_path,validation_path,reused
0025,117500,250,1245,10617,308178087.1291177,312392891.0283665,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0025.csv.gz,3f7672b0b13fafee02b077eeda980508fc738859afb673ecbc58a6c5ba2574a1,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0025.csv.gz,14933719,dc6c1f8e1b23839b9e472d61d30222a7b3c17e95c9dda4a53b9c043d52597c1f,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0025.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0025_validation.csv,False
0026,117500,250,1441,1977,251704596.9725012,241126725.72014794,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0026.csv.gz,9f583c2697cdb0a7ec00c45afdefb11375f7da03a663ad77a5135123e6d1fae7,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0026.csv.gz,14924493,778d083389589859fa49e5a6c3571c4e25c9e5b6fd9b96d860b0eab5b0cb29e1,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0026.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0026_validation.csv,False
0027,117500,250,1980,10607,224309062.38519353,226898586.45923296,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0027.csv.gz,79f120dd1e0cac816aaa925acdea8248ffc2a256995eb57625af96379055e3b3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0027.csv.gz,14921887,e2885fe4dba5ecdf97079ab518012dc87648905cce10d4d2a77ddc50d862b5c7,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0027.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0027_validation.csv,False
0028,117500,250,2213,8629,212311121.82080185,224622461.7036654,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0028.csv.gz,3211ea46122df2e8cce061f4dc4344ea2adfb44fcbd1db141b21cbb15a326e6a,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0028.csv.gz,14930307,f282c530cb04d853ed33413c2e9b2f30b5b5e2f205ca78529da7b44dbee2f410,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0028.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0028_validation.csv,False
0029,117500,250,2606,10625,283119226.3208997,279616656.5961119,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0029.csv.gz,b42a389374869e6b7bed98696c624dddf9ee7a0429cce0c4bdf8bfe9bf19177e,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0029.csv.gz,14936133,4db9df5c72fbac2adf10994ae90365096c9c9344a26b4c5b28b9d9b024ad67cb,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0029.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0029_validation.csv,False
0030,117500,250,3181,10494,238873455.18719965,244475150.25006184,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0030.csv.gz,e7d7d5c3abe4e15d39048867b6cc52b927e49aa51eda9b0d7101e06b003bd94e,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0030.csv.gz,14934586,e6828d646622dd86f99f2d2eb9cd8a5dc861d4e0c369d2009a541bb5b4960e16,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0030.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0030_validation.csv,False
0031,117500,250,3512,9112,289489801.03980285,281701825.3640983,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0031.csv.gz,ea15acc0e56dc371011d2ac45304944dbc0f7f441f7a2ab3aee0df859ebca52a,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0031.csv.gz,14930545,ed6f35acd9d0f431233129abc2130094d49358f388a7be8d2e4e8cc788637efc,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0031.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0031_validation.csv,False
0032,117500,250,3946,10623,259633924.3269786,256642635.96387947,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0032.csv.gz,9ede583555b4d50770a585d04b506adf93686235e922d99e9396b23b628f3e2f,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0032.csv.gz,14932878,1c74b4fcdc2b25c4c82dc62055c955319e3a4499922ebb13b150c6e75b8aa769,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0032.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0032_validation.csv,False
0033,117500,250,4526,10627,252434174.976016,251136205.97179583,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0033.csv.gz,d9478a952f5a0196c175307ae0a449892ab50398cf29b31a05b072c6da30b592,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0033.csv.gz,14931182,0ced5acc4279bd25c923e23e25db50e7d0bbc524cef58aa6032f466a5d199e84,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0033.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0033_validation.csv,False
0034,117500,250,4987,10621,225546058.78447327,222091168.2617052,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0034.csv.gz,17d1faedd0a394bc1784deacfdbb12224a8ea421ce3d3c67b517074292c75678,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0034.csv.gz,14933061,512cbb9e6449af2b2a827ac30137d39eb1acdd0e4bb66378b7163f6af745f728,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0034.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0034_validation.csv,False
