case_name,case_prefix,loss_basis,curve_type,return_period_years,order_statistic_rank,tail_support_sufficient,pml_2022_usd
C1_ALDEA22_SUBDUCTION,c1,ground_up,aep,2000000,1,False,326869443.90629697
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,50,40000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,100,20000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,200,10000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,250,8000,True,288061.4270177922
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,500,4000,True,27720002.991885792
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,1000,2000,True,72806384.07935488
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,2000,1000,True,119047841.61345404
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,2500,800,True,130765834.54809904
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,5000,400,True,169706943.20850182
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,10000,200,True,203121090.1772748
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,20000,100,True,224751894.05932176
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,50000,40,True,258884709.37323537
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,100000,20,True,280054369.1608592
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,200000,10,False,297497377.89733255
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,500000,4,False,305689243.9273162
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,1000000,2,False,318867946.1520355
C1_ALDEA22_SUBDUCTION,c1,ground_up,oep,2000000,1,False,326869443.90629697
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,50,40000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,100,20000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,200,10000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,250,8000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,500,4000,True,9574709.384464605
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,1000,2000,True,42650487.0254056
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,2000,1000,True,83535883.47020881
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,2500,800,True,94963940.29754812
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,5000,400,True,132155539.29306544
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,10000,200,True,165474149.6327068
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,20000,100,True,187148295.69699192
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,50000,40,True,221729917.80837223
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,100000,20,True,241745066.62965265
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,200000,10,False,259073717.42733905
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,500000,4,False,267265583.4573227
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,1000000,2,False,280444285.682042
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aep,2000000,1,False,288445783.43630344
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,50,40000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,100,20000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,200,10000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,250,8000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,500,4000,True,9574709.384464605
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,1000,2000,True,42620231.05059524
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,2000,1000,True,83395506.78828974
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,2500,800,True,94929756.77102035
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,5000,400,True,131840811.67400073
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,10000,200,True,164888661.26335198
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,20000,100,True,186381282.7705136
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,50000,40,True,220477848.8160492
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,100000,20,True,241745066.62965265
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,200000,10,False,259073717.42733905
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,500000,4,False,267265583.4573227
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,1000000,2,False,280444285.682042
C1_ALDEA22_SUBDUCTION,c1,gross_insured,oep,2000000,1,False,288445783.43630344
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,50,40000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,100,20000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,200,10000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,250,8000,True,284462.80066569225
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,500,4000,True,18145153.9166898
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,1000,2000,True,30277356.674314138
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,2000,1000,True,35321242.108222984
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,2500,800,True,35995690.58273604
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,5000,400,True,37554898.59602853
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,10000,200,True,38082338.79155328
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,20000,100,True,38325571.573154725
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,50000,40,True,38417316.89251959
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,100000,20,True,38423660.46999352
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,200000,10,False,38423660.46999352
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,500000,4,False,60189120.187039524
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,1000000,2,False,73791994.15469892
C1_ALDEA22_SUBDUCTION,c1,uninsured,aep,2000000,1,False,74803193.52464768
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,50,40000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,100,20000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,200,10000,True,0.0
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,250,8000,True,284462.80066569225
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,500,4000,True,18145073.035669748
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,1000,2000,True,30268521.092282467
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,2000,1000,True,35306817.622009434
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,2500,800,True,35946655.10869131
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,5000,400,True,37525241.111156896
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,10000,200,True,38064365.036894895
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,20000,100,True,38304663.30021852
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,50000,40,True,38412213.742381774
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,100000,20,True,38422878.65607668
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,200000,10,False,38423660.46999352
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,500000,4,False,38423660.46999352
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,1000000,2,False,38423660.46999352
C1_ALDEA22_SUBDUCTION,c1,uninsured,oep,2000000,1,False,38423660.46999352
C2_GODA_ATKINSON09,c2,ground_up,aep,50,40000,True,0.0
C2_GODA_ATKINSON09,c2,ground_up,aep,100,20000,True,0.0
C2_GODA_ATKINSON09,c2,ground_up,aep,200,10000,True,0.0
C2_GODA_ATKINSON09,c2,ground_up,aep,250,8000,True,281948.0126439543
C2_GODA_ATKINSON09,c2,ground_up,aep,500,4000,True,27747993.72830848
C2_GODA_ATKINSON09,c2,ground_up,aep,1000,2000,True,73030498.32735085
C2_GODA_ATKINSON09,c2,ground_up,aep,2000,1000,True,119160276.046695
C2_GODA_ATKINSON09,c2,ground_up,aep,2500,800,True,131714008.30016184
C2_GODA_ATKINSON09,c2,ground_up,aep,5000,400,True,169909250.10128617
C2_GODA_ATKINSON09,c2,ground_up,aep,10000,200,True,202152604.53203657
C2_GODA_ATKINSON09,c2,ground_up,aep,20000,100,True,226127065.18531305
C2_GODA_ATKINSON09,c2,ground_up,aep,50000,40,True,260026553.5805556
C2_GODA_ATKINSON09,c2,ground_up,aep,100000,20,True,283988547.1009011
C2_GODA_ATKINSON09,c2,ground_up,aep,200000,10,False,299405386.4556076
C2_GODA_ATKINSON09,c2,ground_up,aep,500000,4,False,307797069.04553354
C2_GODA_ATKINSON09,c2,ground_up,aep,1000000,2,False,318735819.24873424
C2_GODA_ATKINSON09,c2,ground_up,aep,2000000,1,False,326030263.3856597
C2_GODA_ATKINSON09,c2,ground_up,oep,50,40000,True,0.0
C2_GODA_ATKINSON09,c2,ground_up,oep,100,20000,True,0.0
C2_GODA_ATKINSON09,c2,ground_up,oep,200,10000,True,0.0
C2_GODA_ATKINSON09,c2,ground_up,oep,250,8000,True,281948.0126439543
C2_GODA_ATKINSON09,c2,ground_up,oep,500,4000,True,27747993.72830848
C2_GODA_ATKINSON09,c2,ground_up,oep,1000,2000,True,72992881.73019491
C2_GODA_ATKINSON09,c2,ground_up,oep,2000,1000,True,118960664.60289454
C2_GODA_ATKINSON09,c2,ground_up,oep,2500,800,True,131695709.44551004
C2_GODA_ATKINSON09,c2,ground_up,oep,5000,400,True,169728017.2014267
C2_GODA_ATKINSON09,c2,ground_up,oep,10000,200,True,200991026.82081088
C2_GODA_ATKINSON09,c2,ground_up,oep,20000,100,True,225301736.5126217
C2_GODA_ATKINSON09,c2,ground_up,oep,50000,40,True,257041310.48046747
C2_GODA_ATKINSON09,c2,ground_up,oep,100000,20,True,281533685.0071042
C2_GODA_ATKINSON09,c2,ground_up,oep,200000,10,False,299405386.4556076
C2_GODA_ATKINSON09,c2,ground_up,oep,500000,4,False,307797069.04553354
C2_GODA_ATKINSON09,c2,ground_up,oep,1000000,2,False,318735819.24873424
C2_GODA_ATKINSON09,c2,ground_up,oep,2000000,1,False,326030263.3856597
C2_GODA_ATKINSON09,c2,gross_insured,aep,50,40000,True,0.0
C2_GODA_ATKINSON09,c2,gross_insured,aep,100,20000,True,0.0
C2_GODA_ATKINSON09,c2,gross_insured,aep,200,10000,True,0.0
C2_GODA_ATKINSON09,c2,gross_insured,aep,250,8000,True,0.0
C2_GODA_ATKINSON09,c2,gross_insured,aep,500,4000,True,9516466.390586872
C2_GODA_ATKINSON09,c2,gross_insured,aep,1000,2000,True,42679402.43785296
C2_GODA_ATKINSON09,c2,gross_insured,aep,2000,1000,True,83769768.60940489
C2_GODA_ATKINSON09,c2,gross_insured,aep,2500,800,True,95822490.09380765
C2_GODA_ATKINSON09,c2,gross_insured,aep,5000,400,True,132412443.79188208
C2_GODA_ATKINSON09,c2,gross_insured,aep,10000,200,True,163887554.2956673
C2_GODA_ATKINSON09,c2,gross_insured,aep,20000,100,True,187267762.2450553
C2_GODA_ATKINSON09,c2,gross_insured,aep,50000,40,True,219046903.7800085
C2_GODA_ATKINSON09,c2,gross_insured,aep,100000,20,True,243110024.5371107
C2_GODA_ATKINSON09,c2,gross_insured,aep,200000,10,False,260981725.9856141
C2_GODA_ATKINSON09,c2,gross_insured,aep,500000,4,False,269373408.57554
C2_GODA_ATKINSON09,c2,gross_insured,aep,1000000,2,False,280312158.7787407
C2_GODA_ATKINSON09,c2,gross_insured,aep,2000000,1,False,287606602.9156662
C2_GODA_ATKINSON09,c2,gross_insured,oep,50,40000,True,0.0
C2_GODA_ATKINSON09,c2,gross_insured,oep,100,20000,True,0.0
C2_GODA_ATKINSON09,c2,gross_insured,oep,200,10000,True,0.0
C2_GODA_ATKINSON09,c2,gross_insured,oep,250,8000,True,0.0
C2_GODA_ATKINSON09,c2,gross_insured,oep,500,4000,True,9516466.390586872
C2_GODA_ATKINSON09,c2,gross_insured,oep,1000,2000,True,42644656.401946254
C2_GODA_ATKINSON09,c2,gross_insured,oep,2000,1000,True,83769768.60940489
C2_GODA_ATKINSON09,c2,gross_insured,oep,2500,800,True,95810216.9429588
C2_GODA_ATKINSON09,c2,gross_insured,oep,5000,400,True,132164033.01809189
C2_GODA_ATKINSON09,c2,gross_insured,oep,10000,200,True,162907397.0473634
C2_GODA_ATKINSON09,c2,gross_insured,oep,20000,100,True,186990328.77630025
C2_GODA_ATKINSON09,c2,gross_insured,oep,50000,40,True,218629972.87432492
C2_GODA_ATKINSON09,c2,gross_insured,oep,100000,20,True,243110024.5371107
C2_GODA_ATKINSON09,c2,gross_insured,oep,200000,10,False,260981725.9856141
C2_GODA_ATKINSON09,c2,gross_insured,oep,500000,4,False,269373408.57554
C2_GODA_ATKINSON09,c2,gross_insured,oep,1000000,2,False,280312158.7787407
C2_GODA_ATKINSON09,c2,gross_insured,oep,2000000,1,False,287606602.9156662
C2_GODA_ATKINSON09,c2,uninsured,aep,50,40000,True,0.0
C2_GODA_ATKINSON09,c2,uninsured,aep,100,20000,True,0.0
C2_GODA_ATKINSON09,c2,uninsured,aep,200,10000,True,0.0
C2_GODA_ATKINSON09,c2,uninsured,aep,250,8000,True,281268.2966132731
C2_GODA_ATKINSON09,c2,uninsured,aep,500,4000,True,18166316.011944216
C2_GODA_ATKINSON09,c2,uninsured,aep,1000,2000,True,30290595.948657904
C2_GODA_ATKINSON09,c2,uninsured,aep,2000,1000,True,35331780.084257096
C2_GODA_ATKINSON09,c2,uninsured,aep,2500,800,True,36042762.86211126
C2_GODA_ATKINSON09,c2,uninsured,aep,5000,400,True,37545757.92999029
C2_GODA_ATKINSON09,c2,uninsured,aep,10000,200,True,38119823.67684603
C2_GODA_ATKINSON09,c2,uninsured,aep,20000,100,True,38311407.73632145
C2_GODA_ATKINSON09,c2,uninsured,aep,50000,40,True,38418959.932381794
C2_GODA_ATKINSON09,c2,uninsured,aep,100000,20,True,38423660.46999352
C2_GODA_ATKINSON09,c2,uninsured,aep,200000,10,False,38423660.46999352
C2_GODA_ATKINSON09,c2,uninsured,aep,500000,4,False,59428359.29777931
C2_GODA_ATKINSON09,c2,uninsured,aep,1000000,2,False,73857876.44906287
C2_GODA_ATKINSON09,c2,uninsured,aep,2000000,1,False,74928362.04932778
C2_GODA_ATKINSON09,c2,uninsured,oep,50,40000,True,0.0
C2_GODA_ATKINSON09,c2,uninsured,oep,100,20000,True,0.0
C2_GODA_ATKINSON09,c2,uninsured,oep,200,10000,True,0.0
C2_GODA_ATKINSON09,c2,uninsured,oep,250,8000,True,281268.2966132731
C2_GODA_ATKINSON09,c2,uninsured,oep,500,4000,True,18151265.1940716
C2_GODA_ATKINSON09,c2,uninsured,oep,1000,2000,True,30282435.077722084
C2_GODA_ATKINSON09,c2,uninsured,oep,2000,1000,True,35312276.81874818
C2_GODA_ATKINSON09,c2,uninsured,oep,2500,800,True,36019560.17048232
C2_GODA_ATKINSON09,c2,uninsured,oep,5000,400,True,37517717.38991942
C2_GODA_ATKINSON09,c2,uninsured,oep,10000,200,True,38094515.19493028
C2_GODA_ATKINSON09,c2,uninsured,oep,20000,100,True,38289281.926611744
C2_GODA_ATKINSON09,c2,uninsured,oep,50000,40,True,38414418.13185352
C2_GODA_ATKINSON09,c2,uninsured,oep,100000,20,True,38423660.46999352
C2_GODA_ATKINSON09,c2,uninsured,oep,200000,10,False,38423660.46999352
C2_GODA_ATKINSON09,c2,uninsured,oep,500000,4,False,38423660.46999352
C2_GODA_ATKINSON09,c2,uninsured,oep,1000000,2,False,38423660.46999352
C2_GODA_ATKINSON09,c2,uninsured,oep,2000000,1,False,38423660.46999352
