case_name,program,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE,retained_tvar_tail_capital_99_5_2022_usd,9064922.6865752339,9694462.1907222755,-629539.50414704159,-6.4938053474438115,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,NO_REINSURANCE,retained_tvar_tail_capital_99_5_2022_usd,24541333.339061152,24470473.088233545,70860.250827606767,0.28957450300247534,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL,retained_tvar_tail_capital_99_5_2022_usd,12880280.64727876,11800103.624713682,1080177.022565078,9.1539621762540868,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_AGGREGATE,retained_tvar_tail_capital_99_5_2022_usd,12893522.851035984,11802897.984635122,1090624.8664008621,9.2403142670607252,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE,retained_tvar_tail_capital_99_5_2022_usd,9045937.7485498786,9694462.1907222755,-648524.44217239693,-6.6896381605680313,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,NO_REINSURANCE,retained_aep_2500yr_pml_2022_usd,80748393.056030944,80748393.056030944,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,FROZEN_OCCURRENCE_XOL,retained_aep_2500yr_pml_2022_usd,19364973.807202592,19364973.807202592,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_AGGREGATE,retained_aep_2500yr_pml_2022_usd,18910409.741112798,18910409.741112798,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,retained_aep_2500yr_pml_2022_usd,18811083.540145442,18811083.540145442,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,NO_REINSURANCE,retained_aep_2500yr_pml_2022_usd,94963940.29754813,80748393.056030944,14215547.241517186,17.604743207277306,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,retained_aep_2500yr_pml_2022_usd,33274085.978361294,19364973.807202592,13909112.171158701,71.826134698851774,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE,retained_aep_2500yr_pml_2022_usd,33125956.982629985,18910409.741112798,14215547.241517186,75.17313181539059,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE,retained_aep_2500yr_pml_2022_usd,18811083.540145442,18811083.540145442,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,NO_REINSURANCE,retained_aep_2500yr_pml_2022_usd,95822490.093807653,80748393.056030944,15074097.037776709,18.667983927948711,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,FROZEN_OCCURRENCE_XOL,retained_aep_2500yr_pml_2022_usd,34077380.568738997,19364973.807202592,14712406.761536404,75.974317900002973,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STANDALONE_AGGREGATE,retained_aep_2500yr_pml_2022_usd,33984506.778889507,18910409.741112798,15074097.037776709,79.713222738925495,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE,retained_aep_2500yr_pml_2022_usd,18811083.540145442,18811083.540145442,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD
