case_name,structure,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_01,ceded_aal_2022_usd,75017.996702004399,89915.41572053128,-14897.419018526882,-16.56825906786661,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_01,ceded_aal_2022_usd,110051.38714714767,119082.31701159912,-9030.9298644514492,-7.58377069835801,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_02,ceded_aal_2022_usd,98216.200439463661,111474.26947815149,-13258.069038687827,-11.893389479700835,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_02,ceded_aal_2022_usd,117481.27678071707,122034.9215014497,-4553.6447207326273,-3.7314275821274099,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_03,ceded_aal_2022_usd,107575.38354836537,117750.95861012411,-10175.575061758747,-8.6416069829633315,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_03,ceded_aal_2022_usd,120282.23321732008,122637.74183185564,-2355.5086145355599,-1.9207044906005495,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_04,ceded_aal_2022_usd,113456.3026210737,120668.97905157076,-7212.6764304970566,-5.9772416135339537,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_04,ceded_aal_2022_usd,121785.70168456026,122865.84477434076,-1080.1430897804967,-0.8791239679052556,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_05,ceded_aal_2022_usd,74981.720065221132,89875.012752799434,-14893.292687578301,-16.57111607710387,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_05,ceded_aal_2022_usd,110015.11051036441,119041.91404386731,-9026.8035335028981,-7.5828783550779386,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_06,ceded_aal_2022_usd,98179.923802680394,111433.86651041966,-13253.942707739261,-11.893998766075255,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_06,ceded_aal_2022_usd,117445.00014393381,121994.5185337179,-4549.5183897840907,-3.7292809910362124,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_07,ceded_aal_2022_usd,107539.10691158212,117710.55564239228,-10171.448730810167,-8.641067638582296,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_07,ceded_aal_2022_usd,120245.95658053683,122597.33886412383,-2351.3822835869942,-1.9179717156773368,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_08,ceded_aal_2022_usd,113420.02598429045,120628.57608383893,-7208.5500995484763,-5.9758229215425791,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_08,ceded_aal_2022_usd,121749.42504777701,122825.44180660891,-1076.0167588319018,-0.87605364410258868,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_09,ceded_aal_2022_usd,35439.286554114042,42143.538735564194,-6704.2521814501524,-15.908137718374729,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_09,ceded_aal_2022_usd,70472.676999257354,71310.440026632059,-837.76302737470542,-1.1748111876210958,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_10,ceded_aal_2022_usd,58637.490291573311,63702.392493184409,-5064.9022016110976,-7.9508822249541051,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
