case_name,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C2_GODA_ATKINSON09,OCC_13,ceded_aal_2022_usd,23224.287366359451,21568.418199441207,1655.8691669182444,7.6772860745121525,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_14,ceded_aal_2022_usd,32601.515274499747,27824.934940237752,4776.5803342619947,17.166546281316052,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C2_GODA_ATKINSON09,OCC_15,ceded_aal_2022_usd,38425.581520921813,30690.350106811071,7735.2314141107418,25.204115910017176,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_01,retained_aep_2500yr_pml_2022_usd,32836523.349690475,32836523.349690475,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_02,retained_aep_2500yr_pml_2022_usd,1.4901161193847656e-08,1.4901161193847656e-08,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_03,retained_aep_2500yr_pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_04,retained_aep_2500yr_pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_05,retained_aep_2500yr_pml_2022_usd,32846477.252110519,32846477.252110519,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_06,retained_aep_2500yr_pml_2022_usd,19907.804840102792,19907.804840102792,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_07,retained_aep_2500yr_pml_2022_usd,9953.902420044411,9953.902420044411,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_08,retained_aep_2500yr_pml_2022_usd,9953.9024200442946,9953.9024200442946,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
