case_name,program,ceded_price_multiplier,expense_ratio,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,1,0.20000000000000001,break_even_required_earned_premium_2022_usd,153724.44995916056,153724.44995916056,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,1,0.29999999999999999,break_even_required_earned_premium_2022_usd,175685.08566761209,175685.08566761209,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,1,0.40000000000000002,break_even_required_earned_premium_2022_usd,204965.93327888075,204965.93327888075,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.20000000000000001,break_even_required_earned_premium_2022_usd,176930.31667473586,176930.31667473586,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.29999999999999999,break_even_required_earned_premium_2022_usd,202206.07619969815,202206.07619969815,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.40000000000000002,break_even_required_earned_premium_2022_usd,235907.08889964785,235907.08889964785,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.20000000000000001,break_even_required_earned_premium_2022_usd,200136.1833903112,200136.1833903112,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.29999999999999999,break_even_required_earned_premium_2022_usd,228727.06673178423,228727.06673178423,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.40000000000000002,break_even_required_earned_premium_2022_usd,266848.24452041497,266848.24452041497,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,2,0.20000000000000001,break_even_required_earned_premium_2022_usd,246547.91682146184,246547.91682146184,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,2,0.29999999999999999,break_even_required_earned_premium_2022_usd,281769.04779595643,281769.04779595643,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_OCCURRENCE_PLUS_AGGREGATE,2,0.40000000000000002,break_even_required_earned_premium_2022_usd,328730.55576194916,328730.55576194916,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,NO_REINSURANCE,0,0.20000000000000001,break_even_required_earned_premium_2022_usd,154304.28653520707,153724.44995916056,579.83657604650944,0.37719216181977078,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,NO_REINSURANCE,0,0.29999999999999999,break_even_required_earned_premium_2022_usd,176347.75604023668,175685.08566761209,662.67037262459053,0.37719216181977544,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,NO_REINSURANCE,0,0.40000000000000002,break_even_required_earned_premium_2022_usd,205739.04871360946,204965.93327888078,773.11543472867925,0.37719216181977072,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
