case_name,loss_basis,risk_metric,parameter,tail_count,headline_supported,metric,value,baseline_value,absolute_change,percent_change,percentage_status,period,unit,source_path
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,50000,20,True,value_2022_usd,123656063.31561601,123656063.31561601,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,100000,10,False,value_2022_usd,132690180.35398455,132690180.35398455,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,1000000,1,False,value_2022_usd,174212501.17845976,174212501.17845976,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,var,0.98999999999999999,10001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,tvar,0.98999999999999999,10001,True,value_2022_usd,6506069.1975328373,6506069.1975328373,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,tvar_minus_mean,0.98999999999999999,10001,True,value_2022_usd,6450481.9367293399,6450481.9367293399,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,var,0.995,5001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,tvar,0.995,5001,True,value_2022_usd,13010837.441416899,13010837.441416899,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,tvar_minus_mean,0.995,5001,True,value_2022_usd,12955250.1806134,12955250.1806134,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,100,10000,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,250,4000,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,500,2000,True,value_2022_usd,3761600.7942655161,3761600.7942655161,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,1000,1000,True,value_2022_usd,22901462.530567288,22901462.530567288,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,2500,400,True,value_2022_usd,51367320.025272384,51367320.025272384,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,5000,200,True,value_2022_usd,71073935.102898747,71073935.102898747,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,10000,100,True,value_2022_usd,88590861.177157268,88590861.177157268,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,50000,20,True,value_2022_usd,123656063.31561601,123656063.31561601,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,100000,10,False,value_2022_usd,132690180.35398455,132690180.35398455,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,aep_pml,1000000,1,False,value_2022_usd,174212501.17845976,174212501.17845976,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,var,0.98999999999999999,10001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,tvar,0.98999999999999999,10001,True,value_2022_usd,6506069.1975328373,6506069.1975328373,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,tvar_minus_mean,0.98999999999999999,10001,True,value_2022_usd,6441001.9994883118,6441001.9994883118,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,var,0.995,5001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,tvar,0.995,5001,True,value_2022_usd,13010837.441416899,13010837.441416899,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,unfunded,tvar_minus_mean,0.995,5001,True,value_2022_usd,12945770.243372373,12945770.243372373,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,aep_pml,100,10000,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,aep_pml,250,4000,True,value_2022_usd,0,6199.5039999999899,-6199.5039999999899,-100,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,aep_pml,500,2000,True,value_2022_usd,9588988.64585183,18924416.707944721,-9335428.062092891,-49.330070279913855,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,aep_pml,1000,1000,True,value_2022_usd,44517133.018210873,48040112.81779445,-3522979.7995835766,-7.3334128355307202,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,aep_pml,2500,400,True,value_2022_usd,94359579.412989959,81050074.85862115,13309504.554368809,16.421335301151917,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,aep_pml,5000,200,True,value_2022_usd,131056332.46806256,101559923.32944781,29496409.138614759,29.043355067266113,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,aep_pml,10000,100,True,value_2022_usd,162691267.37422916,118982667.49620402,43708599.878025144,36.73526640291503,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,aep_pml,50000,20,True,value_2022_usd,212054871.43557161,150734244.29391614,61320627.141655475,40.681284753109331,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,aep_pml,100000,10,False,value_2022_usd,236170356.6602934,165208659.70689747,70961696.953395933,42.952770804685173,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
