case_name,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit,program,target_kind,target_parameter,risk_measure,confidence
I0_PHASE1_INDEPENDENT,retained_tvar_99_5_2022_usd,9743182.9771997631,9743182.9771997631,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,retained_tvar_99_5_2022_usd,24686217.223910745,24593452.648200873,92764.575709871948,0.37719216181977649,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C1_ALDEA22_SUBDUCTION,retained_tvar_99_5_2022_usd,12956451.334349507,11859406.587353744,1097044.7469957639,9.2504185510057084,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C1_ALDEA22_SUBDUCTION,retained_tvar_99_5_2022_usd,12970352.81264795,11862214.990696099,1108137.8219518512,9.3417445461998287,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,retained_tvar_99_5_2022_usd,9110479.640015129,9743182.9771997631,-632703.33718463406,-6.4938053474438187,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C2_GODA_ATKINSON09,retained_tvar_99_5_2022_usd,24664669.016478051,24593452.648200873,71216.368277177215,0.28957450300247706,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C2_GODA_ATKINSON09,retained_tvar_99_5_2022_usd,12945012.180688292,11859406.587353744,1085605.5933345482,9.1539621762540939,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C2_GODA_ATKINSON09,retained_tvar_99_5_2022_usd,12958320.934870806,11862214.990696099,1096105.9441747069,9.2403142670607181,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C2_GODA_ATKINSON09,retained_tvar_99_5_2022_usd,9091399.2907030396,9743182.9771997631,-651783.68649672344,-6.6896381605680277,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
I0_PHASE1_INDEPENDENT,retained_tvar_tail_capital_99_5_2022_usd,24470473.088233545,24470473.088233545,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
I0_PHASE1_INDEPENDENT,retained_tvar_tail_capital_99_5_2022_usd,11800103.624713682,11800103.624713682,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
I0_PHASE1_INDEPENDENT,retained_tvar_tail_capital_99_5_2022_usd,11802897.984635122,11802897.984635122,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
I0_PHASE1_INDEPENDENT,retained_tvar_tail_capital_99_5_2022_usd,9694462.1907222755,9694462.1907222755,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,retained_tvar_tail_capital_99_5_2022_usd,24562773.794682581,24470473.088233545,92300.706449035555,0.37719216181977988,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C1_ALDEA22_SUBDUCTION,retained_tvar_tail_capital_99_5_2022_usd,12891662.599452093,11800103.624713682,1091558.9747384116,9.2504185510057102,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C1_ALDEA22_SUBDUCTION,retained_tvar_tail_capital_99_5_2022_usd,12905494.563408304,11802897.984635122,1102596.5787731819,9.3417445461998359,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,retained_tvar_tail_capital_99_5_2022_usd,9064922.6865752339,9694462.1907222755,-629539.50414704159,-6.4938053474438115,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C2_GODA_ATKINSON09,retained_tvar_tail_capital_99_5_2022_usd,24541333.339061152,24470473.088233545,70860.250827606767,0.28957450300247534,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C2_GODA_ATKINSON09,retained_tvar_tail_capital_99_5_2022_usd,12880280.64727876,11800103.624713682,1080177.022565078,9.1539621762540868,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C2_GODA_ATKINSON09,retained_tvar_tail_capital_99_5_2022_usd,12893522.851035984,11802897.984635122,1090624.8664008621,9.2403142670607252,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C2_GODA_ATKINSON09,retained_tvar_tail_capital_99_5_2022_usd,9045937.7485498786,9694462.1907222755,-648524.44217239693,-6.6896381605680313,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
