program,case_series,baseline_series,metric_name,metric_kind,case_value_2022_usd,baseline_value_2022_usd,absolute_change_2022_usd,percent_change,bootstrap_standard_error_2022_usd,bootstrap_ci_lower_2022_usd,bootstrap_ci_upper_2022_usd,bootstrap_replicates,bootstrap_seed,bootstrap_method,source_notebook,uncertainty_scope,interval_excludes_zero,period,scope
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,70317555.978147298,40518464.24751161,29799091.730635688,73.544474806854907,2188007.8905678936,26085992.592613682,34394411.677947678,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,103636166.31778865,60918175.373173133,42717990.944615513,70.123556201303217,2265255.2416890101,38069286.896892875,47679894.529580832,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C1_ALDEA22_SUBDUCTION,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,12970352.812648045,11862214.990696166,1108137.8219518792,9.3417445462000046,162610.76506946943,815092.05616666691,1441611.1848768138,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aal,mean,64798.083834821526,59317.006060976135,5481.0777738453908,9.24031426706029,810.03387264518358,4000.252199134658,7136.3827843503941,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9516466.3905868717,18811083.540145434,-9294617.1495585628,-49.410323066837556,384662.2735065397,-9585447.4834102243,-8193409.498921806,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.540145438,18811083.540145438,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,33984506.778889507,18910409.741112798,15074097.037776709,79.713222738925495,1764129.0376790792,10605380.718253899,17162882.374408115,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,70574460.476963937,40518464.24751161,30055996.229452327,74.178517837822994,2135279.0560402977,26214114.574450884,34301950.898484051,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,102049570.98074915,60918175.373173133,41131395.607576013,67.519086636480694,2386942.8705903343,36424181.529192246,45586887.380532682,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STANDALONE_AGGREGATE,STANDALONE_AGGREGATE:C2_GODA_ATKINSON09,STANDALONE_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,12958320.934870904,11862214.990696166,1096105.9441747386,9.2403142670609348,161990.57547148972,799970.44278268598,1427133.8434857659,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aal,mean,45556.9534398959,48720.786477487694,-3163.833037591794,-6.493805347443848,453.48325710750947,-4026.2358096457447,-2264.203688100612,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9574709.3844646048,18811083.540145427,-9236374.1556808222,-49.100702444753573,380861.48880656395,-9434954.5673862882,-7996411.3616219405,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.540145438,18811083.540145438,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
