case_name,case_prefix,program,loss_basis,curve_type,return_period_years,order_statistic_rank,tail_support_sufficient,pml_2022_usd
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,10000,200,True,122264317.26838058
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,20000,100,True,139203216.76625985
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,50000,40,True,159608668.4076304
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,100000,20,True,177724333.83312032
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,200000,10,False,188669633.6116764
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,500000,4,False,210111664.1746652
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,1000000,2,False,217639236.3065385
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,gross,oep,2000000,1,False,244325807.3326858
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,250,8000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,500,4000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,1000,2000,True,29001459.96522766
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,2000,1000,True,54406056.90390055
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,2500,800,True,61837983.31491813
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,5000,400,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,10000,200,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,20000,100,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,50000,40,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,100000,20,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,200000,10,False,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,500000,4,False,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,1000000,2,False,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,ceded,oep,2000000,1,False,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,250,8000,True,9953.902420044236
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,500,4000,True,18811083.540145434
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,1000,2000,True,18811083.54014544
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,2000,1000,True,18811083.540145442
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,2500,800,True,18811083.540145442
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,5000,400,True,40366665.69676013
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,10000,200,True,60426333.95346244
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,20000,100,True,77365233.4513417
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,50000,40,True,97770685.09271227
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,100000,20,True,115886350.51820217
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,200000,10,False,126831650.29675825
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,500000,4,False,148273680.85974705
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,1000000,2,False,155801252.99162036
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,retained,oep,2000000,1,False,182487824.01776767
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,250,8000,True,9953.902420044236
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,500,4000,True,18811083.540145434
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,1000,2000,True,47896738.67299797
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,2000,1000,True,73243559.51759347
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,2500,800,True,80748393.05603094
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,5000,400,True,102356447.56242976
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,10000,200,True,122756158.68809128
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,20000,100,True,140343076.7506676
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,50000,40,True,159608668.4076304
