case_name,case_prefix,program,premium_multiple_of_gross_aal,expense_ratio,ceded_price_multiplier,earned_premium_2022_usd,expenses_2022_usd,retained_aal_2022_usd,expected_reinsurance_premium_2022_usd,underwriting_result_2022_usd,var99_5_economic_capital_floored_2022_usd,tvar99_5_tail_capital_2022_usd,raroc_using_var99_5_capital,raroc_using_tvar99_5_tail_capital,var_capital_informative,pricing_status
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,1.25,0.2,0.0,153724.44995916059,30744.88999183212,122979.55996732846,0.0,1.4551915228366852e-11,0.0,24470473.088233545,,5.946724109459101e-19,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,3.0,0.4,1.0,368938.6799019854,147575.47196079415,59302.9626400624,63676.597327266056,98383.64797386277,0.0,11800103.624713682,,0.008337524067823595,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.25,0.2,1.25,153724.44995916059,30744.88999183212,59302.9626400624,79595.74665908256,-15919.149331816487,0.0,11800103.624713682,,-0.0013490686046583552,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.5,0.2,1.25,184469.3399509927,36893.86799019854,59302.9626400624,79595.74665908256,8676.76266164919,0.0,11800103.624713682,,0.0007353124122975424,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.0,0.2,1.25,245959.11993465692,49191.823986931384,59302.9626400624,79595.74665908256,57868.58664858059,0.0,11800103.624713682,,0.004904074446209342,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.5,0.2,1.25,307448.89991832117,61489.77998366424,59302.9626400624,79595.74665908256,107060.410635512,0.0,11800103.624713682,,0.009072836480121142,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,3.0,0.2,1.25,368938.6799019854,73787.73598039708,59302.9626400624,79595.74665908256,156252.23462244336,0.0,11800103.624713682,,0.013241598514032936,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.25,0.3,1.25,153724.44995916059,46117.334987748174,59302.9626400624,79595.74665908256,-31291.594327732557,0.0,11800103.624713682,,-0.002651806740255793,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.5,0.3,1.25,184469.3399509927,55340.80198529781,59302.9626400624,79595.74665908256,-9770.171333450082,0.0,11800103.624713682,,-0.0008279733504193821,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.0,0.3,1.25,245959.11993465692,73787.73598039708,59302.9626400624,79595.74665908256,33272.6746551149,0.0,11800103.624713682,,0.0028196934292534425,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.5,0.3,1.25,307448.89991832117,92234.66997549635,59302.9626400624,79595.74665908256,76315.52064367986,0.0,11800103.624713682,,0.006467360208926266,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,3.0,0.3,1.25,368938.6799019854,110681.60397059562,59302.9626400624,79595.74665908256,119358.36663224481,0.0,11800103.624713682,,0.010115026988599087,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.25,0.4,1.25,153724.44995916059,61489.77998366424,59302.9626400624,79595.74665908256,-46664.03932364861,0.0,11800103.624713682,,-0.00395454487585323,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.5,0.4,1.25,184469.3399509927,73787.73598039708,59302.9626400624,79595.74665908256,-28217.10532854934,0.0,11800103.624713682,,-0.002391259113136305,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.0,0.4,1.25,245959.11993465692,98383.64797386277,59302.9626400624,79595.74665908256,8676.76266164919,0.0,11800103.624713682,,0.0007353124122975424,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.5,0.4,1.25,307448.89991832117,122979.55996732847,59302.9626400624,79595.74665908256,45570.630651847736,0.0,11800103.624713682,,0.0038618839377313912,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,3.0,0.4,1.25,368938.6799019854,147575.47196079415,59302.9626400624,79595.74665908256,82464.49864204627,0.0,11800103.624713682,,0.006988455463165239,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.25,0.2,1.5,153724.44995916059,30744.88999183212,59302.9626400624,95514.89599089908,-31838.298663633002,0.0,11800103.624713682,,-0.002698137209316713,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.5,0.2,1.5,184469.3399509927,36893.86799019854,59302.9626400624,95514.89599089908,-7242.386670167325,0.0,11800103.624713682,,-0.0006137561923608153,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.0,0.2,1.5,245959.11993465692,49191.823986931384,59302.9626400624,95514.89599089908,41949.43731676407,0.0,11800103.624713682,,0.0035550058415509834,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.5,0.2,1.5,307448.89991832117,61489.77998366424,59302.9626400624,95514.89599089908,91141.26130369549,0.0,11800103.624713682,,0.007723767875462783,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,3.0,0.2,1.5,368938.6799019854,73787.73598039708,59302.9626400624,95514.89599089908,140333.08529062686,0.0,11800103.624713682,,0.01189252990937458,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.25,0.3,1.5,153724.44995916059,46117.334987748174,59302.9626400624,95514.89599089908,-47210.74365954907,0.0,11800103.624713682,,-0.004000875344914151,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,1.5,0.3,1.5,184469.3399509927,55340.80198529781,59302.9626400624,95514.89599089908,-25689.320665266598,0.0,11800103.624713682,,-0.0021770419550777398,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.0,0.3,1.5,245959.11993465692,73787.73598039708,59302.9626400624,95514.89599089908,17353.52532329838,0.0,11800103.624713682,,0.0014706248245950847,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,2.5,0.3,1.5,307448.89991832117,92234.66997549635,59302.9626400624,95514.89599089908,60396.371311863346,0.0,11800103.624713682,,0.005118291604267908,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,FROZEN_OCCURRENCE_XOL,3.0,0.3,1.5,368938.6799019854,110681.60397059562,59302.9626400624,95514.89599089908,103439.2173004283,0.0,11800103.624713682,,0.00876595838394073,False,assumption grid; not a central estimate
