design_id,case_name,case_prefix,attachment_return_period_years,exhaustion_return_period_years,attachment_order_statistic_rank,exhaustion_order_statistic_rank,attachment_2022_usd,limit_2022_usd,exhaustion_2022_usd,participation,triggering_occurrences,exhausting_occurrences,attachment_annual_frequency,exhaustion_annual_frequency,retained_aep_2500yr_pml_2022_usd,tvar99_5_capital_relief_per_expected_ceded_dollar,catalog_years,gross_aal_2022_usd,ceded_aal_2022_usd,retained_aal_2022_usd,gross_annual_standard_deviation_2022_usd,ceded_annual_standard_deviation_2022_usd,retained_annual_standard_deviation_2022_usd,maximum_gross_aep_2022_usd,maximum_ceded_aep_2022_usd,maximum_retained_aep_2022_usd,ceded_share_of_gross_aal,tail_count_99,gross_var_99_2022_usd,ceded_var_99_2022_usd,retained_var_99_2022_usd,gross_tvar_99_2022_usd,ceded_tvar_99_2022_usd,retained_tvar_99_2022_usd,gross_var_economic_capital_99_2022_usd,retained_var_economic_capital_99_2022_usd,gross_var_economic_capital_floored_99_2022_usd,retained_var_economic_capital_floored_99_2022_usd,gross_tvar_tail_capital_99_2022_usd,retained_tvar_tail_capital_99_2022_usd,var_capital_relief_99_2022_usd,tvar_capital_relief_99_2022_usd,var_capital_informative_99,tail_count_99_5,gross_var_99_5_2022_usd,ceded_var_99_5_2022_usd,retained_var_99_5_2022_usd,gross_tvar_99_5_2022_usd,ceded_tvar_99_5_2022_usd,retained_tvar_99_5_2022_usd,gross_var_economic_capital_99_5_2022_usd,retained_var_economic_capital_99_5_2022_usd,gross_var_economic_capital_floored_99_5_2022_usd,retained_var_economic_capital_floored_99_5_2022_usd,gross_tvar_tail_capital_99_5_2022_usd,retained_tvar_tail_capital_99_5_2022_usd,var_capital_relief_99_5_2022_usd,tvar_capital_relief_99_5_2022_usd,var_capital_informative_99_5
OCC_11,I0_PHASE1_INDEPENDENT,i0,500,5000,4000,400,18811083.540145434,83393565.47153285,102204649.01167828,1.0,4005,400,0.0020025,0.0002,18811083.540145434,198.98000199980015,2000000,122979.55996732846,69933.1140680626,53046.44589926585,2931863.5174367586,1957245.107392763,1124056.9656858447,244325807.3326858,105262322.638154,160932241.86115295,0.5686564018170294,20001,0.0,0.0,0.0,12297341.129676362,6992961.758718323,5304379.370958035,-122979.55996732846,-53046.44589926585,0.0,0.0,12174361.569709035,5251332.925058769,-69933.11406806261,6923028.644650266,False,10001,0.0,0.0,0.0,24593452.648200873,13985224.2911834,10608228.357017465,-122979.55996732846,-53046.44589926585,0.0,0.0,24470473.088233545,10555181.911118198,-69933.11406806261,13915291.177115347,False
OCC_12,I0_PHASE1_INDEPENDENT,i0,500,10000,4000,200,18811083.540145434,103453233.72823516,122264317.26838058,1.0,4005,200,0.0020025,0.0001,18811083.540145434,198.98000199980015,2000000,122979.55996732846,72798.5292346359,50181.03073269253,2931863.5174367586,2087872.932090469,1005562.6019673056,244325807.3326858,112718919.40566507,140872573.60445064,0.591956332043927,20001,0.0,0.0,0.0,12297341.129676362,7279488.94901614,5017852.180660219,-122979.55996732846,-50181.03073269253,0.0,0.0,12174361.569709035,4967671.149927527,-72798.52923463593,7206690.419781508,False,10001,0.0,0.0,0.0,24593452.648200873,14558250.02192499,10035202.626275877,-122979.55996732846,-50181.03073269253,0.0,0.0,24470473.088233545,9985021.595543183,-72798.52923463593,14485451.492690362,False
OCC_13,I0_PHASE1_INDEPENDENT,i0,1000,2500,2000,800,47812543.5053731,32836523.349690475,80649066.85506357,1.0,2001,800,0.0010005,0.0004,48100316.69211326,198.98000199980012,2000000,122979.55996732846,21568.418199441207,101411.14176788724,2931863.5174367586,776263.7035878622,2275265.6616828605,244325807.3326858,32836523.349690475,211489283.98299533,0.17538213834210506,20001,0.0,0.0,0.0,12297341.129676362,2156733.9832449583,10140607.146431401,-122979.55996732846,-101411.14176788724,0.0,0.0,12174361.569709035,10039196.004663514,-21568.41819944122,2135165.5650455207,False,10001,0.0,0.0,0.0,24593452.648200873,4313252.314656775,20280200.333544094,-122979.55996732846,-101411.14176788724,0.0,0.0,24470473.088233545,20178789.19177621,-21568.41819944122,4291683.896457337,False
OCC_14,I0_PHASE1_INDEPENDENT,i0,1000,5000,2000,400,47812543.5053731,54392105.50630518,102204649.01167828,1.0,2001,400,0.0010005,0.0002,47812543.5053731,198.98000199980012,2000000,122979.55996732846,27824.934940237752,95154.6250270907,2931863.5174367586,1064289.7166276877,2057800.9553680352,244325807.3326858,54392105.50630518,189933701.8263806,0.2262565823753956,20001,0.0,0.0,0.0,12297341.129676362,2782354.37630496,9514986.7533714,-122979.55996732846,-95154.6250270907,0.0,0.0,12174361.569709035,9419832.12834431,-27824.934940237756,2754529.441364724,False,10001,0.0,0.0,0.0,24593452.648200873,5564430.544993051,19029022.10320782,-122979.55996732846,-95154.6250270907,0.0,0.0,24470473.088233545,18933867.47818073,-27824.934940237756,5536605.610052817,False
OCC_15,I0_PHASE1_INDEPENDENT,i0,1000,10000,2000,200,47812543.5053731,74451773.76300749,122264317.26838058,1.0,2001,200,0.0010005,0.0001,47812543.5053731,198.9800019998002,2000000,122979.55996732846,30690.35010681107,92289.20986051737,2931863.5174367586,1222699.2160439726,1953477.0687504741,244325807.3326858,74451773.76300749,169874033.5696783,0.24955651260229314,20001,0.0,0.0,0.0,12297341.129676362,3068881.5666027768,9228459.563073585,-122979.55996732846,-92289.20986051737,0.0,0.0,12174361.569709035,9136170.353213068,-30690.350106811093,3038191.2164959665,False,10001,0.0,0.0,0.0,24593452.648200873,6137456.275734641,18455996.37246623,-122979.55996732846,-92289.20986051737,0.0,0.0,24470473.088233545,18363707.16260571,-30690.350106811093,6106765.925627835,False
OCC_01,C1_ALDEA22_SUBDUCTION,c1,100,1000,20000,2000,0.0,47812543.5053731,47812543.5053731,1.0,7364,1832,0.003682,0.000916,47151396.79217503,198.98000199980007,2000000,123443.42922816567,75030.4122424458,48413.01698571988,3463423.9535431596,1713169.6780753217,2102446.2557065454,288445783.43630344,95625087.0107462,240633239.93093035,0.6078121185678012,20001,0.0,0.0,0.0,12343725.736529741,7502666.090940033,4841059.645589707,-123443.42922816567,-48413.01698571988,0.0,0.0,12220282.307301575,4792646.628603987,-75030.41224244579,7427635.678697588,False,10001,0.0,0.0,0.0,24686217.223910745,15004581.990290131,9681635.233620612,-123443.42922816567,-48413.01698571988,0.0,0.0,24562773.79468258,9633222.216634892,-75030.41224244579,14929551.578047689,False
OCC_02,C1_ALDEA22_SUBDUCTION,c1,100,2500,20000,800,0.0,80649066.85506357,80649066.85506357,1.0,7364,1057,0.003682,0.0005285,14280689.91595678,198.9800019998001,2000000,123443.42922816567,98297.67053237799,25145.758695787674,3463423.9535431596,2421548.987641325,1438662.1561282424,288445783.43630344,161298133.71012715,207796716.58123988,0.7962973091965088,20001,0.0,0.0,0.0,12343725.736529741,9829275.589458326,2514450.1470714137,-123443.42922816567,-25145.758695787674,0.0,0.0,12220282.307301575,2489304.388375626,-98297.67053237799,9730977.918925948,False,10001,0.0,0.0,0.0,24686217.223910745,19657568.349640634,5028648.874270108,-123443.42922816567,-25145.758695787674,0.0,0.0,24562773.79468258,5003503.11557432,-98297.67053237799,19559270.679108262,False
OCC_03,C1_ALDEA22_SUBDUCTION,c1,100,5000,20000,400,0.0,102204649.01167828,102204649.01167828,1.0,7364,697,0.003682,0.0003485,0.0,198.98000199980007,2000000,123443.42922816567,107653.89981527842,15789.529412887248,3463423.9535431596,2750391.9188268534,1096027.631160741,288445783.43630344,194903979.02898324,186241134.42462516,0.8720909690243391,20001,0.0,0.0,0.0,12343725.736529741,10764851.738940895,1578873.9975888452,-123443.42922816567,-15789.529412887248,0.0,0.0,12220282.307301575,1563084.468175958,-107653.89981527842,10657197.839125618,False,10001,0.0,0.0,0.0,24686217.223910745,21528627.10034565,3157590.1235650927,-123443.42922816567,-15789.529412887248,0.0,0.0,24562773.79468258,3141800.5941522056,-107653.89981527842,21420973.200530376,False
OCC_04,C1_ALDEA22_SUBDUCTION,c1,100,10000,20000,200,0.0,122264317.26838058,122264317.26838058,1.0,7364,477,0.003682,0.0002385,0.0,198.98000199980007,2000000,123443.42922816567,113456.9630777543,9986.466150411365,3463423.9535431596,2976940.893326727,831664.2643890337,288445783.43630344,212155497.02853444,166181466.16792285,0.9191008690146403,20001,0.0,0.0,0.0,12343725.736529741,11345129.051322864,998596.6852068763,-123443.42922816567,-9986.466150411365,0.0,0.0,12220282.307301575,988610.2190564648,-113456.9630777543,11231672.08824511,False,10001,0.0,0.0,0.0,24686217.223910745,22689123.703180544,1997093.5207302,-123443.42922816567,-9986.466150411365,0.0,0.0,24562773.79468258,1987107.0545797886,-113456.9630777543,22575666.740102794,False
OCC_05,C1_ALDEA22_SUBDUCTION,c1,250,1000,8000,2000,9953.902420044236,47802589.602953054,47812543.5053731,1.0,7184,1832,0.003592,0.000916,47161350.694595076,198.9800019998001,2000000,123443.42922816567,74994.05753097837,48449.371697187285,3463423.9535431596,1712733.0251716562,2102676.0738522923,288445783.43630344,95605179.20590611,240643193.8333504,0.6075176135326225,20001,0.0,0.0,0.0,12343725.736529741,7499030.801557762,4844694.934971979,-123443.42922816567,-48449.371697187285,0.0,0.0,12220282.307301575,4796245.563274791,-74994.05753097837,7424036.744026784,False,10001,0.0,0.0,0.0,24686217.223910745,14997311.775018176,9688905.448892567,-123443.42922816567,-48449.371697187285,0.0,0.0,24562773.79468258,9640456.07719538,-74994.05753097837,14922317.717487201,False
