design_id,case_name,case_prefix,structure,application_order,calibration_basis,attachment_return_period_years,exhaustion_return_period_years,attachment_order_statistic_rank,exhaustion_order_statistic_rank,attachment_2022_usd,limit_2022_usd,exhaustion_2022_usd,participation,aggregate_trigger_years,aggregate_exhaustion_years,retained_aep_2500yr_pml_2022_usd,tvar99_5_capital_relief_per_expected_ceded_dollar,catalog_years,gross_aal_2022_usd,ceded_aal_2022_usd,retained_aal_2022_usd,gross_annual_standard_deviation_2022_usd,ceded_annual_standard_deviation_2022_usd,retained_annual_standard_deviation_2022_usd,maximum_gross_aep_2022_usd,maximum_ceded_aep_2022_usd,maximum_retained_aep_2022_usd,ceded_share_of_gross_aal,tail_count_99,gross_var_99_2022_usd,ceded_var_99_2022_usd,retained_var_99_2022_usd,gross_tvar_99_2022_usd,ceded_tvar_99_2022_usd,retained_tvar_99_2022_usd,gross_var_economic_capital_99_2022_usd,retained_var_economic_capital_99_2022_usd,gross_var_economic_capital_floored_99_2022_usd,retained_var_economic_capital_floored_99_2022_usd,gross_tvar_tail_capital_99_2022_usd,retained_tvar_tail_capital_99_2022_usd,var_capital_relief_99_2022_usd,tvar_capital_relief_99_2022_usd,var_capital_informative_99,tail_count_99_5,gross_var_99_5_2022_usd,ceded_var_99_5_2022_usd,retained_var_99_5_2022_usd,gross_tvar_99_5_2022_usd,ceded_tvar_99_5_2022_usd,retained_tvar_99_5_2022_usd,gross_var_economic_capital_99_5_2022_usd,retained_var_economic_capital_99_5_2022_usd,gross_var_economic_capital_floored_99_5_2022_usd,retained_var_economic_capital_floored_99_5_2022_usd,gross_tvar_tail_capital_99_5_2022_usd,retained_tvar_tail_capital_99_5_2022_usd,var_capital_relief_99_5_2022_usd,tvar_capital_relief_99_5_2022_usd,var_capital_informative_99_5
AGG_14,I0_PHASE1_INDEPENDENT,i0,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,1000,5000,2000,400,47896738.67299797,54459708.88943179,102356447.56242976,1.0,1999,400,47896738.67299797,198.98000199980035,2000000,122979.55996732846,27835.54288959284,95144.0170777356,2931863.5174367586,1065389.035338753,2056722.39161257,244325807.3326858,54459708.88943179,189866098.443254,0.22634284020033746,20001,0.0,0.0,0.0,12297341.129676362,2783415.118203374,9513926.011472985,-122979.55996732846,-95144.0170777356,0.0,0.0,12174361.569709035,9418781.99439525,-27835.542889592864,2755579.575313784,False,10001,0.0,0.0,0.0,24593452.648200873,5566551.922726296,19026900.72547457,-122979.55996732846,-95144.0170777356,0.0,0.0,24470473.088233545,18931756.708396833,-27835.542889592864,5538716.379836712,False
AGG_14,I0_PHASE1_INDEPENDENT,i0,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,1000,5000,2000,400,47896738.67299797,54459708.88943179,102356447.56242976,1.0,310,33,19364973.807202592,198.9800019998001,2000000,122979.55996732846,67232.02214752257,55747.537819805875,2931863.5174367586,1872334.7299451556,1156425.0484573373,244325807.3326858,116297692.20434994,128028115.12833586,0.5466926549857868,20001,0.0,0.0,0.0,12297341.129676362,6722866.071448685,5574475.058227676,-122979.55996732846,-55747.537819805875,0.0,0.0,12174361.569709035,5518727.52040787,-67232.02214752258,6655634.049301164,False,10001,0.0,0.0,0.0,24593452.648200873,13445059.923512163,11148392.724688707,-122979.55996732846,-55747.537819805875,0.0,0.0,24470473.088233545,11092645.1868689,-67232.02214752258,13377827.901364645,False
AGG_15,I0_PHASE1_INDEPENDENT,i0,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,1000,10000,2000,200,47896738.67299797,74859420.01509331,122756158.68809128,1.0,1999,200,47896738.67299797,198.9800019998003,2000000,122979.55996732846,30753.56333103948,92225.99663628897,2931863.5174367586,1226884.5637336618,1950467.185430618,244325807.3326858,74859420.01509331,169466387.3175925,0.25007052667296636,20001,0.0,0.0,0.0,12297341.129676362,3075202.5729752993,9222138.55670106,-122979.55996732846,-92225.99663628897,0.0,0.0,12174361.569709035,9129912.560064772,-30753.56333103949,3044449.0096442625,False,10001,0.0,0.0,0.0,24593452.648200873,6150097.656442252,18443354.991758615,-122979.55996732846,-92225.99663628897,0.0,0.0,24470473.088233545,18351128.995122325,-30753.56333103949,6119344.093111221,False
AGG_15,I0_PHASE1_INDEPENDENT,i0,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,1000,10000,2000,200,47896738.67299797,74859420.01509331,122756158.68809128,1.0,310,14,19364973.807202592,198.98000199980015,2000000,122979.55996732846,67460.12509000767,55519.43487732077,2931863.5174367586,1887497.2838103834,1143184.279667552,244325807.3326858,136697403.33001146,107628404.00267434,0.5485474586828052,20001,0.0,0.0,0.0,12297341.129676362,6745675.225239506,5551665.904436854,-122979.55996732846,-55519.43487732077,0.0,0.0,12174361.569709035,5496146.469559533,-67460.1250900077,6678215.100149502,False,10001,0.0,0.0,0.0,24593452.648200873,13490675.950406494,11102776.697794372,-122979.55996732846,-55519.43487732077,0.0,0.0,24470473.088233545,11047257.262917051,-67460.1250900077,13423215.825316494,False
AGG_01,C1_ALDEA22_SUBDUCTION,c1,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,100,1000,20000,2000,0.0,47896738.67299797,47896738.67299797,1.0,7348,1827,47067201.624550164,198.98000199980004,2000000,123443.42922816567,75017.9967020044,48425.43252616128,3463423.9535431596,1711749.318097388,2105622.1736531574,288445783.43630344,47896738.67299797,240549044.7633055,0.6077115418054815,20001,0.0,0.0,0.0,12343725.736529741,7501424.59897049,4842301.137559251,-123443.42922816567,-48425.43252616128,0.0,0.0,12220282.307301575,4793875.70503309,-75017.99670200438,7426406.602268485,False,10001,0.0,0.0,0.0,24686217.223910745,15002099.130487828,9684118.093422916,-123443.42922816567,-48425.43252616128,0.0,0.0,24562773.79468258,9635692.660896754,-75017.99670200438,14927081.133785827,False
AGG_01,C1_ALDEA22_SUBDUCTION,c1,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,100,1000,20000,2000,0.0,47896738.67299797,47896738.67299797,1.0,7348,605,0.0,198.98000199980004,2000000,123443.42922816567,110051.38714714767,13392.04208101799,3463423.9535431596,2840484.2152923085,992840.5153005573,288445783.43630344,171572705.30283427,178711061.44838732,0.8915127182973431,20001,0.0,0.0,0.0,12343725.736529741,11004588.485290503,1339137.2512392371,-123443.42922816567,-13392.04208101799,0.0,0.0,12220282.307301575,1325745.2091582192,-110051.38714714767,10894537.098143356,False,10001,0.0,0.0,0.0,24686217.223910745,22008076.621767357,2678140.6021433836,-123443.42922816567,-13392.04208101799,0.0,0.0,24562773.79468258,2664748.5600623656,-110051.38714714767,21898025.234620214,False
AGG_02,C1_ALDEA22_SUBDUCTION,c1,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,100,2500,20000,800,0.0,80748393.05603094,80748393.05603094,1.0,7348,1050,14215547.241517186,198.98000199980004,2000000,123443.42922816567,98216.20043946366,25227.22878870201,3463423.9535431596,2416784.2164894496,1444056.3029651688,288445783.43630344,80748393.05603094,207697390.3802725,0.79563733001881,20001,0.0,0.0,0.0,12343725.736529741,9821128.98749699,2522596.7490327493,-123443.42922816567,-25227.22878870201,0.0,0.0,12220282.307301575,2497369.5202440475,-98216.20043946366,9722912.787057528,False,10001,0.0,0.0,0.0,24686217.223910745,19641275.9602967,5044941.263614041,-123443.42922816567,-25227.22878870201,0.0,0.0,24562773.79468258,5019714.034825339,-98216.20043946366,19543059.75985724,False
AGG_02,C1_ALDEA22_SUBDUCTION,c1,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,100,2500,20000,800,0.0,80748393.05603094,80748393.05603094,1.0,7348,324,0.0,198.98000199980007,2000000,123443.42922816567,117481.27678071707,5962.152447448591,3463423.9535431596,3149758.7399367183,612027.5875510366,288445783.43630344,204424359.68586725,145859407.06535435,0.9517013381374192,20001,0.0,0.0,0.0,12343725.736529741,11747540.301056655,596185.4354730855,-123443.42922816567,-5962.152447448591,0.0,0.0,12220282.307301575,590223.2830256369,-117481.27678071707,11630059.024275938,False,10001,0.0,0.0,0.0,24686217.223910745,23493905.96554686,1192311.2583638818,-123443.42922816567,-5962.152447448591,0.0,0.0,24562773.79468258,1186349.1059164333,-117481.27678071707,23376424.688766148,False
AGG_03,C1_ALDEA22_SUBDUCTION,c1,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,100,5000,20000,400,0.0,102356447.56242976,102356447.56242976,1.0,7348,696,0.0,198.98000199980007,2000000,123443.42922816567,107575.38354836537,15868.045679800289,3463423.9535431596,2745593.740250494,1100927.3121277033,288445783.43630344,102356447.56242976,186089335.87387368,0.8714549184268794,20001,0.0,0.0,0.0,12343725.736529741,10757000.504811298,1586725.2317184429,-123443.42922816567,-15868.045679800289,0.0,0.0,12220282.307301575,1570857.1860386427,-107575.38354836538,10649425.121262932,False,10001,0.0,0.0,0.0,24686217.223910745,21512925.417131364,3173291.8067793795,-123443.42922816567,-15868.045679800289,0.0,0.0,24562773.79468258,3157423.7610995793,-107575.38354836538,21405350.033583,False
AGG_03,C1_ALDEA22_SUBDUCTION,c1,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,100,5000,20000,400,0.0,102356447.56242976,102356447.56242976,1.0,7348,203,0.0,198.98000199980007,2000000,123443.42922816567,120282.23321732008,3161.1960108455874,3463423.9535431596,3282662.785319815,426590.6482545218,288445783.43630344,212155497.02853444,124251352.55895555,0.9743915408814299,20001,0.0,0.0,0.0,12343725.736529741,12027621.940634979,316103.79589476396,-123443.42922816567,-3161.1960108455874,0.0,0.0,12220282.307301575,312942.59988391836,-120282.23321732008,11907339.707417658,False,10001,0.0,0.0,0.0,24686217.223910745,24054041.239340086,632175.9845706603,-123443.42922816567,-3161.1960108455874,0.0,0.0,24562773.79468258,629014.7885598147,-120282.23321732008,23933759.006122768,False
AGG_04,C1_ALDEA22_SUBDUCTION,c1,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,100,10000,20000,200,0.0,122756158.68809128,122756158.68809128,1.0,7348,476,0.0,198.98000199980007,2000000,123443.42922816567,113456.3026210737,9987.126607091957,3463423.9535431596,2975447.6709185727,832057.838904595,288445783.43630344,122756158.68809128,165689624.74821216,0.9190955187365029,20001,0.0,0.0,0.0,12343725.736529741,11345063.008956922,998662.7275728171,-123443.42922816567,-9987.126607091957,0.0,0.0,12220282.307301575,988675.6009657251,-113456.30262107372,11231606.70633585,False,10001,0.0,0.0,0.0,24686217.223910745,22688991.625052236,1997225.5988585055,-123443.42922816567,-9987.126607091957,0.0,0.0,24562773.79468258,1987238.4722514136,-113456.30262107372,22575535.322431166,False
AGG_04,C1_ALDEA22_SUBDUCTION,c1,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,100,10000,20000,200,0.0,122756158.68809128,122756158.68809128,1.0,7348,104,0.0,198.98000199980004,2000000,123443.42922816567,121785.70168456026,1657.727543605405,3463423.9535431596,3361023.598922673,295198.79361427546,288445783.43630344,212155497.02853444,103851641.433294,0.9865709535617213,20001,0.0,0.0,0.0,12343725.736529741,12177961.270392507,165764.46613723363,-123443.42922816567,-1657.727543605405,0.0,0.0,12220282.307301575,164106.73859362822,-121785.70168456026,12056175.568707947,False,10001,0.0,0.0,0.0,24686217.223910745,24354704.866425414,331512.3574853324,-123443.42922816567,-1657.727543605405,0.0,0.0,24562773.79468258,329854.629941727,-121785.70168456026,24232919.164740853,False
AGG_05,C1_ALDEA22_SUBDUCTION,c1,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,250,1000,8000,2000,9953.902420044236,47886784.77057792,47896738.67299797,1.0,7169,1827,47077155.52697021,198.98000199980004,2000000,123443.42922816567,74981.72006522113,48461.709162944535,3463423.9535431596,1711314.7250850648,2105850.333535064,288445783.43630344,47886784.77057792,240558998.66572553,0.6074176692436928,20001,0.0,0.0,0.0,12343725.736529741,7497797.116666278,4845928.619863462,-123443.42922816567,-48461.709162944535,0.0,0.0,12220282.307301575,4797466.910700517,-74981.72006522113,7422815.396601059,False,10001,0.0,0.0,0.0,24686217.223910745,14994844.528591365,9691372.695319379,-123443.42922816567,-48461.709162944535,0.0,0.0,24562773.79468258,9642910.986156434,-74981.72006522113,14919862.808526147,False
AGG_05,C1_ALDEA22_SUBDUCTION,c1,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,250,1000,8000,2000,9953.902420044236,47886784.77057792,47896738.67299797,1.0,7169,605,9953.902420044411,198.98000199980007,2000000,123443.42922816567,110015.11051036441,13428.318717801243,3463423.9535431596,2840100.005545253,992974.4617962044,288445783.43630344,171562751.40041423,178721015.35080737,0.8912188457355544,20001,0.0,0.0,0.0,12343725.736529741,11000961.002986293,1342764.7335434472,-123443.42922816567,-13428.318717801243,0.0,0.0,12220282.307301575,1329336.414825646,-110015.11051036442,10890945.89247593,False,10001,0.0,0.0,0.0,24686217.223910745,22000822.0198709,2685395.2040398447,-123443.42922816567,-13428.318717801243,0.0,0.0,24562773.79468258,2671966.8853220437,-110015.11051036442,21890806.909360535,False
AGG_06,C1_ALDEA22_SUBDUCTION,c1,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,250,2500,8000,800,9953.902420044236,80738439.1536109,80748393.05603094,1.0,7169,1050,14225501.14393723,198.98000199980007,2000000,123443.42922816567,98179.9238026804,25263.50542548527,3463423.9535431596,2416381.2131266864,1444229.6746003737,288445783.43630344,80738439.1536109,207707344.28269255,0.7953434574570213,20001,0.0,0.0,0.0,12343725.736529741,9817501.50519278,2526224.2313369596,-123443.42922816567,-25263.50542548527,0.0,0.0,12220282.307301575,2500960.7259114743,-98179.9238026804,9719321.581390101,False,10001,0.0,0.0,0.0,24686217.223910745,19634021.35840024,5052195.865510502,-123443.42922816567,-25263.50542548527,0.0,0.0,24562773.79468258,5026932.360085017,-98179.9238026804,19535841.434597563,False
AGG_06,C1_ALDEA22_SUBDUCTION,c1,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,250,2500,8000,800,9953.902420044236,80738439.1536109,80748393.05603094,1.0,7169,324,9953.902420044411,198.98000199980007,2000000,123443.42922816567,117445.00014393381,5998.429084231846,3463423.9535431596,3149388.8629782028,612124.486645269,288445783.43630344,204414405.7834472,145869360.9677744,0.9514074655756305,20001,0.0,0.0,0.0,12343725.736529741,11743912.818752445,599812.9177772956,-123443.42922816567,-5998.429084231846,0.0,0.0,12220282.307301575,593814.4886930637,-117445.00014393382,11626467.818608511,False,10001,0.0,0.0,0.0,24686217.223910745,23486651.3636504,1199565.860260343,-123443.42922816567,-5998.429084231846,0.0,0.0,24562773.79468258,1193567.431176111,-117445.00014393382,23369206.36350647,False
AGG_07,C1_ALDEA22_SUBDUCTION,c1,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,250,5000,8000,400,9953.902420044236,102346493.66000971,102356447.56242976,1.0,7169,696,9953.902420044411,198.98000199980007,2000000,123443.42922816567,107539.10691158212,15904.322316583542,3463423.9535431596,2745205.195031939,1101070.4117812705,288445783.43630344,102346493.66000971,186099289.77629372,0.8711610458650908,20001,0.0,0.0,0.0,12343725.736529741,10753373.022507088,1590352.714022653,-123443.42922816567,-15904.322316583542,0.0,0.0,12220282.307301575,1574448.3917060695,-107539.10691158213,10645833.915595505,False,10001,0.0,0.0,0.0,24686217.223910745,21505670.815234903,3180546.4086758406,-123443.42922816567,-15904.322316583542,0.0,0.0,24562773.79468258,3164642.086359257,-107539.10691158213,21398131.708323322,False
AGG_07,C1_ALDEA22_SUBDUCTION,c1,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,250,5000,8000,400,9953.902420044236,102346493.66000971,102356447.56242976,1.0,7169,203,9953.902420044295,198.98000199980007,2000000,123443.42922816567,120245.95658053683,3197.4726476288406,3463423.9535431596,3282299.4218826974,426664.55527716223,288445783.43630344,212145543.1261144,124261306.4613756,0.9740976683196413,20001,0.0,0.0,0.0,12343725.736529741,12023994.458330765,319731.2781989741,-123443.42922816567,-3197.4726476288406,0.0,0.0,12220282.307301575,316533.8055513452,-120245.95658053683,11903748.50175023,False,10001,0.0,0.0,0.0,24686217.223910745,24046786.63744362,639430.5864671214,-123443.42922816567,-3197.4726476288406,0.0,0.0,24562773.79468258,636233.1138194925,-120245.95658053683,23926540.68086309,False
