case_name,case_prefix,program,ceded_price_multiplier,expense_ratio,expected_reinsurance_premium_2022_usd,break_even_required_earned_premium_2022_usd,break_even_premium_multiple_of_gross_aal,pricing_status
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,1.25,0.2,73231.47498564949,172612.15528161943,1.3983097874134163,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,1.25,0.3,73231.47498564949,197271.0346075651,1.598068328472476,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,1.25,0.4,73231.47498564949,230149.54037549262,1.8644130498845555,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,1.5,0.2,87877.76998277938,190920.02402803182,1.546619574826833,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,1.5,0.3,87877.76998277938,218194.31317489356,1.7675652283735237,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,1.5,0.4,87877.76998277938,254560.0320373758,2.062159433102444,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,2.0,0.2,117170.35997703917,227535.76152085653,1.8432391496536655,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,2.0,0.3,117170.35997703917,260040.87030955034,2.106559028175618,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STANDALONE_AGGREGATE,2.0,0.4,117170.35997703917,303381.01536114205,2.457652199538221,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.0,0.2,77886.47578827002,154304.2865352071,1.25,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.0,0.3,77886.47578827002,176347.7560402367,1.4285714285714288,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.0,0.4,77886.47578827002,205739.0487136095,1.666666666666667,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.2,97358.09473533752,178643.81021904148,1.4471714803778388,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.3,97358.09473533752,204164.3545360474,1.6539102632889586,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.25,0.4,97358.09473533752,238191.74695872198,1.9295619738371184,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.2,116829.71368240504,202983.33390287583,1.6443429607556772,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.3,116829.71368240504,231980.95303185814,1.8792490980064886,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.5,0.4,116829.71368240504,270644.4452038345,2.19245728100757,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,2.0,0.2,155772.95157654004,251662.3812705446,2.0386859215113544,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,2.0,0.3,155772.95157654004,287614.1500234796,2.3299267674415485,assumption grid; not a quoted price
C1_ALDEA22_SUBDUCTION,c1,STACKED_OCCURRENCE_PLUS_AGGREGATE,2.0,0.4,155772.95157654004,335549.8416940595,2.718247895348473,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,NO_REINSURANCE,0.0,0.2,0.0,154169.59677112312,1.25,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,NO_REINSURANCE,0.0,0.3,0.0,176193.8248812836,1.4285714285714288,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,NO_REINSURANCE,0.0,0.4,0.0,205559.4623614975,1.6666666666666667,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,1.0,0.2,58604.144007366674,154169.5967711231,1.2499999999999998,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,1.0,0.3,58604.144007366674,176193.82488128357,1.4285714285714286,assumption grid; not a quoted price
