gmm_name,gmm_label,implementation_class,imt_name
PSBAH_20_CASCADIA_INTERFACE_BASIN_M9,Parker et al. (2020) : Cascadia : Interface : Basin : M9,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaInterfaceBasinM9,SA3P0
PSBAH_20_CASCADIA_INTERFACE_BASIN_M9,Parker et al. (2020) : Cascadia : Interface : Basin : M9,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaInterfaceBasinM9,SA4P0
PSBAH_20_CASCADIA_INTERFACE_BASIN_M9,Parker et al. (2020) : Cascadia : Interface : Basin : M9,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaInterfaceBasinM9,SA5P0
PSBAH_20_CASCADIA_INTERFACE_BASIN_M9,Parker et al. (2020) : Cascadia : Interface : Basin : M9,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaInterfaceBasinM9,SA7P5
PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,PGA
PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,PGV
PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA0P01
PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA0P02
PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA0P03
PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA0P05
PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA0P075
PSBAH_20_CASCADIA_SLAB,Parker et al. (2020) : Cascadia : Slab,gov.usgs.earthquake.nshmp.gmm.ParkerEtAl_2020$CascadiaSlab,SA0P1
