tree_id,tree_name,tree_path,tree_type,tectonic_setting,branch_index,branch_weight,rupture_set_id,rupture_set_name,rupture_set_type,rupture_set_weight,source_count
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,10,0.037500000000000000,3140,"Cascadia (segmented, 4, bottom)",INTERFACE,0.037500000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,11,0.20000000000000000,3172,"Cascadia (full, top)",INTERFACE,0.20000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,12,0.50000000000000000,3171,"Cascadia (full, middle)",INTERFACE,0.50000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,13,0.025000000000000000,3142,"Cascadia (segmented, 4, top)",INTERFACE,0.025000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,14,0.30000000000000000,3151,"Cascadia (segmented, 1-2, middle)",INTERFACE,0.30000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,15,0.069600000000000000,3170,"Cascadia (unsegmented, 1-2-3-4, bottom)",INTERFACE,0.069600000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,16,0.12000000000000000,3162,"Cascadia (segmented, 1-2-3, top)",INTERFACE,0.12000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,17,0.22500000000000000,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,0.22500000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,18,0.090000000000000000,3162,"Cascadia (unsegmented, 1-2-3, top)",INTERFACE,0.090000000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,19,0.062500000000000000,3141,"Cascadia (segmented, 4, middle)",INTERFACE,0.062500000000000000,1
3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,SUBDUCTION,20,0.18000000000000000,3110,"Cascadia (segmented, 1, bottom)",INTERFACE,0.18000000000000000,1
8230,California Intraslab Sources,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/slab/CA,SLAB,SUBDUCTION,0,1.0000000000000000,8201,CA Intraslab,SLAB,1.0000000000000000,2306
8231,Oregon Intraslab Sources,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/slab/OR,SLAB,SUBDUCTION,0,1.0000000000000000,8211,OR Intraslab,SLAB,1.0000000000000000,821
8231,Oregon Intraslab Sources,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/slab/OR,SLAB,SUBDUCTION,1,1.0000000000000000,8212,OR Intraslab,SLAB,1.0000000000000000,821
8232,Washington Intraslab Sources,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/slab/WA,SLAB,SUBDUCTION,0,1.0000000000000000,8221,WA Intraslab,SLAB,1.0000000000000000,2490
8232,Washington Intraslab Sources,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/slab/WA,SLAB,SUBDUCTION,1,1.0000000000000000,8222,WA Intraslab,SLAB,1.0000000000000000,2490
