site_ordinal,site_id,longitude,latitude
356,W2_0357,-123.9144445,46.009403583
357,W2_0358,-123.9163361,46.011634969
358,W2_0359,-123.9304846,45.988076755
359,W2_0360,-123.9320338,45.983973044
360,W2_0361,-123.9198669,45.988005021
361,W2_0362,-123.9241822,45.986695537
362,W2_0363,-123.9223789,45.988369692
363,W2_0364,-123.9220397,45.986710037
364,W2_0365,-123.9236008,45.991456763
365,W2_0366,-123.92303,45.990664506
366,W2_0367,-123.9229669,45.990891718
367,W2_0368,-123.9234395,45.992624997
368,W2_0369,-123.9227919,45.992257794
369,W2_0370,-123.922111,45.9899825
370,W2_0371,-123.9228181,45.987878129
371,W2_0372,-123.9232477,45.989572897
372,W2_0373,-123.9198386,45.992948324
373,W2_0374,-123.9233955,45.994014
374,W2_0375,-123.9235769,45.993430182
375,W2_0376,-123.9210096,45.993382806
376,W2_0377,-123.9228215,45.993473
377,W2_0378,-123.9222779,45.993285028
378,W2_0379,-123.9255144,45.993373861
379,W2_0380,-123.9251729,45.993548461
380,W2_0381,-123.9222005,45.994264344
381,W2_0382,-123.9224377,45.993284791
382,W2_0383,-123.9221633,45.993287713
383,W2_0384,-123.9253572,45.971787268
384,W2_0385,-123.9247267,45.984850527
385,W2_0386,-123.9206072,45.982311254
386,W2_0387,-123.9212337,45.982316764
387,W2_0388,-123.9254355,45.983083
388,W2_0389,-123.9266853,45.981574331
389,W2_0390,-123.9260263,45.981095024
390,W2_0391,-123.9216777,45.982829795
391,W2_0392,-123.9187604,45.985231375
392,W2_0393,-123.9013325,46.009742
393,W2_0394,-123.905276,46.01117
394,W2_0395,-123.8906807,46.010435761
395,W2_0396,-123.9222879,45.985977531
396,W2_0397,-123.923374,45.9858655
397,W2_0398,-123.926082,45.983384763
398,W2_0399,-123.9241675,45.9865665
399,W2_0400,-123.9240692,45.986966116
400,W2_0401,-123.9255191,45.984150812
401,W2_0402,-123.9220045,45.982282018
402,W2_0403,-123.9235262,45.982427574
403,W2_0404,-123.923874,45.983468
404,W2_0405,-123.9238882,45.982742747
405,W2_0406,-123.9244445,45.986785042
406,W2_0407,-123.9243786,45.986697677
407,W2_0408,-123.904101,46.010618
408,W2_0409,-123.9018999,46.005630254
409,W2_0410,-123.9133647,46.009962138
410,W2_0411,-123.9134835,46.0106405
411,W2_0412,-123.9135322,46.008328253
412,W2_0413,-123.9134671,46.009165535
413,W2_0414,-123.9144661,46.007546904
414,W2_0415,-123.9124909,46.016368923
415,W2_0416,-123.9167439,46.011198116
416,W2_0417,-123.9290034,45.99598879
417,W2_0418,-123.9283573,45.997607
418,W2_0419,-123.9280961,45.994280505
419,W2_0420,-123.9280157,45.994523754
420,W2_0421,-123.9111662,46.012028474
421,W2_0422,-123.9069383,46.010821253
422,W2_0423,-123.9162734,46.011777113
423,W2_0424,-123.926279,45.992963958
424,W2_0425,-123.9271625,45.992482756
425,W2_0426,-123.9240678,45.989660216
426,W2_0427,-123.9258315,45.981569271
427,W2_0428,-123.9286905,45.993354254
428,W2_0429,-123.9290662,45.993063793
429,W2_0430,-123.9257897,45.992959881
430,W2_0431,-123.9258381,45.992714705
431,W2_0432,-123.9250226,45.993296237
432,W2_0433,-123.9256821,45.992959781
433,W2_0434,-123.9249287,45.992910439
434,W2_0435,-123.9253958,45.979878281
435,W2_0436,-123.9244992,45.98699031
436,W2_0437,-123.9244827,45.986892258
437,W2_0438,-123.9243346,45.986639434
438,W2_0439,-123.924088,45.986696132
439,W2_0440,-123.9243566,45.986668555
440,W2_0441,-123.9240745,45.986566054
441,W2_0442,-123.9095594,45.989974258
442,W2_0443,-123.9100314,45.991728354
443,W2_0444,-123.9083058,45.987887585
444,W2_0445,-123.9187795,45.993940027
445,W2_0446,-123.9179945,45.9909
446,W2_0447,-123.9187183,45.992866503
447,W2_0448,-123.9206487,45.999863279
448,W2_0449,-123.9203316,45.994280093
449,W2_0450,-123.9232937,45.988269977
450,W2_0451,-123.920378,46.0017075
451,W2_0452,-123.9175108,46.003380745
452,W2_0453,-123.9190977,46.003267435
453,W2_0454,-123.9219959,45.990905136
454,W2_0455,-123.919031,45.99795
455,W2_0456,-123.9177766,46.001194021
456,W2_0457,-123.912175,46.0027225
457,W2_0458,-123.9154929,46.004618714
458,W2_0459,-123.9176273,45.992112168
459,W2_0460,-123.910839,45.999275948
460,W2_0461,-123.9061982,45.997717585
461,W2_0462,-123.9061982,45.997717585
462,W2_0463,-123.9061982,45.997717585
463,W2_0464,-123.9061982,45.997717585
464,W2_0465,-123.9222801,45.98591877
465,W2_0466,-123.921734,45.9823375
466,W2_0467,-123.9220388,45.986795747
467,W2_0468,-123.9229366,45.983107488
468,W2_0469,-123.923388,45.98638741
469,W2_0470,-123.9162093,45.982432337
