site_ordinal,site_id,site_longitude,site_latitude
174,W2_0175,-123.91663320000001,46.000011147999999
175,W2_0176,-123.90619820000001,45.997717584999997
176,W2_0177,-123.9111532,45.994931391999998
177,W2_0178,-123.898053,46.008615796999997
178,W2_0179,-123.89701460000001,46.008939552000001
179,W2_0180,-123.90343559999999,46.008277653
180,W2_0181,-123.91857,45.996366246000001
181,W2_0182,-123.91891939999999,45.994943863000003
182,W2_0183,-123.9190605,46.004612999999999
183,W2_0184,-123.9180787,46.000116906000002
184,W2_0185,-123.922152,45.994702891000003
185,W2_0186,-123.9201406,46.001654002000002
186,W2_0187,-123.9189598,45.999297816999999
187,W2_0188,-123.91843230000001,46.000542455999998
188,W2_0189,-123.919624,45.994251464999998
189,W2_0190,-123.9155564,46.001748564000003
190,W2_0191,-123.922679,45.988344499999997
191,W2_0192,-123.9260822,45.979684816000002
192,W2_0193,-123.908602,45.991497236000001
193,W2_0194,-123.9271815,45.993571602999999
194,W2_0195,-123.9220868,45.989665240999997
195,W2_0196,-123.90619820000001,45.997717584999997
196,W2_0197,-123.90619820000001,45.997717584999997
197,W2_0198,-123.9302344,45.979508140999997
198,W2_0199,-123.9284007,45.980487469000003
199,W2_0200,-123.93191969999999,45.984030535999999
200,W2_0201,-123.90955940000001,45.989974257999997
201,W2_0202,-123.9185299,46.004264065000001
202,W2_0203,-123.9159399,46.003364019000003
203,W2_0204,-123.9156182,45.999301414000001
204,W2_0205,-123.9175419,46.002441296999997
205,W2_0206,-123.91820300000001,46.002105
206,W2_0207,-123.916448,46.001312896000002
207,W2_0208,-123.9154929,46.004618714000003
208,W2_0209,-123.91462730000001,46.005370698
209,W2_0210,-123.9151071,46.002471469
210,W2_0211,-123.91534660000001,46.002100732000002
211,W2_0212,-123.9207318,46.001669909999997
212,W2_0213,-123.919792,45.997369499999998
213,W2_0214,-123.9193595,45.99709
214,W2_0215,-123.9199114,45.999801488999999
215,W2_0216,-123.91513809999999,46.017119801
216,W2_0217,-123.91589500000001,45.9762615
217,W2_0218,-123.91261489999999,45.998441280999998
218,W2_0219,-123.9240678,45.989660215999997
219,W2_0220,-123.9236509,45.982357049999997
220,W2_0221,-123.92290490000001,45.992097373999997
221,W2_0222,-123.92290490000001,45.992097373999997
222,W2_0223,-123.921922,45.999202500000003
223,W2_0224,-123.9215074,45.997660365000002
224,W2_0225,-123.9102422,45.985004449000002
225,W2_0226,-123.9153354,45.979143719
226,W2_0227,-123.9144197,45.983306493000001
227,W2_0228,-123.910112,46.003525734999997
228,W2_0229,-123.9091782,46.011755356000002
229,W2_0230,-123.90711400000001,45.997372626999997
230,W2_0231,-123.91077540000001,46.014727444999998
231,W2_0232,-123.91045939999999,46.015981812
232,W2_0233,-123.9106326,46.013569779999997
233,W2_0234,-123.9106326,46.013569779999997
234,W2_0235,-123.9102331,45.999485020999998
235,W2_0236,-123.9066636,46.005429665999998
236,W2_0237,-123.9099537,46.004018514000002
237,W2_0238,-123.9099325,46.004420449000001
238,W2_0239,-123.90910580000001,46.001827804999998
239,W2_0240,-123.9111041,45.997897840999997
240,W2_0241,-123.90619820000001,45.997717584999997
241,W2_0242,-123.90619820000001,45.997717584999997
242,W2_0243,-123.90619820000001,45.997717584999997
243,W2_0244,-123.90619820000001,45.997717584999997
244,W2_0245,-123.90797670000001,46.014386350000002
245,W2_0246,-123.9057339,46.011695203999999
246,W2_0247,-123.9004979,46.004221307000002
247,W2_0248,-123.90903419999999,45.993624386
248,W2_0249,-123.9095959,45.990218503000001
249,W2_0250,-123.9117612,45.989013278000002
250,W2_0251,-123.9111726,45.984993246999998
251,W2_0252,-123.91464809999999,45.985156013999998
252,W2_0253,-123.9132355,45.984551500000002
253,W2_0254,-123.9180954,45.996381300000003
254,W2_0255,-123.9182307,45.990653006999999
255,W2_0256,-123.9192575,45.992893500000001
256,W2_0257,-123.9192121,45.992796243999997
257,W2_0258,-123.9153712,45.975469066999999
258,W2_0259,-123.919646,45.994205741999998
259,W2_0260,-123.91729220000001,45.992253079999998
260,W2_0261,-123.91527290000001,45.992791568000001
261,W2_0262,-123.91090920000001,45.992830900999998
262,W2_0263,-123.910922,45.989045965999999
263,W2_0264,-123.912989,45.995819695000002
264,W2_0265,-123.92732220000001,45.993470092999999
265,W2_0266,-123.9273986,45.994783341999998
266,W2_0267,-123.9286907,45.992990143999997
267,W2_0268,-123.92973720000001,45.992404514999997
268,W2_0269,-123.928237,45.992988080000003
269,W2_0270,-123.9279556,45.992647089999998
270,W2_0271,-123.9279569,45.992482938999999
271,W2_0272,-123.9283934,45.992407346999997
272,W2_0273,-123.9282345,45.992406651000003
273,W2_0274,-123.9280751,45.992405693999999
274,W2_0275,-123.9156225,45.981035499999997
275,W2_0276,-123.926666,45.977582546000001
276,W2_0277,-123.9226503,45.98404627
277,W2_0278,-123.9212639,45.997284114000003
278,W2_0279,-123.9221235,45.990101774000003
279,W2_0280,-123.919748,45.990250674999999
280,W2_0281,-123.91045939999999,46.015981812
281,W2_0282,-123.9142532,46.015586868
282,W2_0283,-123.9126605,46.015775087000002
283,W2_0284,-123.91326530000001,46.013044336999997
284,W2_0285,-123.915809,45.992763748000002
285,W2_0286,-123.9148735,46.009922402999997
286,W2_0287,-123.9154929,46.004618714000003
287,W2_0288,-123.9159408,46.011593974999997
288,W2_0289,-123.9263667,46.004513396
289,W2_0290,-123.9228495,45.991619
290,W2_0291,-123.9223193,45.989175580000001
291,W2_0292,-123.92326989999999,45.988873732999998
292,W2_0293,-123.92240750000001,45.984423411999998
293,W2_0294,-123.92385609999999,45.989208468000001
294,W2_0295,-123.9263117,45.982654449999998
295,W2_0296,-123.92413070000001,45.987294351000003
296,W2_0297,-123.9255191,45.984150812000003
297,W2_0298,-123.925149,45.984554000000003
298,W2_0299,-123.92412090000001,45.986701638
299,W2_0300,-123.9267911,45.979939754
300,W2_0301,-123.9203316,45.994280093
301,W2_0302,-123.9226195,45.993961499999997
302,W2_0303,-123.92075250000001,45.994310378999998
303,W2_0304,-123.92238089999999,45.988695634000003
304,W2_0305,-123.9200745,45.994732794000001
305,W2_0306,-123.9200191,45.994955965999999
306,W2_0307,-123.9206714,45.994678102000002
307,W2_0308,-123.9254006,45.971414721000002
308,W2_0309,-123.921922,45.982131244999998
309,W2_0310,-123.9214937,45.981916011000003
310,W2_0311,-123.9233012,45.981456592999997
311,W2_0312,-123.9265985,45.992603977000002
312,W2_0313,-123.9265985,45.992603977000002
313,W2_0314,-123.9275025,45.992408500000003
314,W2_0315,-123.9275025,45.992408500000003
315,W2_0316,-123.9255974,45.992605560999998
316,W2_0317,-123.92731980000001,45.992941459000001
317,W2_0318,-123.92716249999999,45.992482756000001
318,W2_0319,-123.9235769,45.993430181999997
319,W2_0320,-123.9284007,45.980487469000003
320,W2_0321,-123.92249339999999,45.982837752999998
321,W2_0322,-123.9234896,45.991762000000001
322,W2_0323,-123.9240678,45.989660215999997
323,W2_0324,-123.9237688,45.981970994999998
324,W2_0325,-123.9238058,45.982430323999999
325,W2_0326,-123.9286905,45.993354254000003
326,W2_0327,-123.9230453,45.990149355
327,W2_0328,-123.929478,45.994784000000003
328,W2_0329,-123.92569330000001,45.981047338000003
329,W2_0330,-123.92526220000001,45.981116964999998
330,W2_0331,-123.9213846,45.993293506000001
331,W2_0332,-123.9222779,45.993285028000003
332,W2_0333,-123.92159270000001,45.992173065999999
333,W2_0334,-123.9248121,45.983030749000001
334,W2_0335,-123.9267286,45.99210223
335,W2_0336,-123.9224983,45.989522200000003
336,W2_0337,-123.9200513,45.992880646000003
337,W2_0338,-123.9225447,45.992588943000001
338,W2_0339,-123.92640849999999,45.993488036999999
339,W2_0340,-123.9283752,45.994620308000002
340,W2_0341,-123.9275222,45.993320558000001
341,W2_0342,-123.9296004,45.993062645000002
342,W2_0343,-123.92751819999999,45.992938498000001
343,W2_0344,-123.92716919999999,45.992938176000003
344,W2_0345,-123.9262992,45.978201446
345,W2_0346,-123.92565639999999,45.979317426999998
346,W2_0347,-123.9226949,45.993280984000002
347,W2_0348,-123.9214612,45.993295189999998
348,W2_0349,-123.9219094,45.992885895999997
349,W2_0350,-123.9199447,45.990248452000003
350,W2_0351,-123.9244005,45.986726799000003
