rupture_ordinal,event_id,rupture_id,tree_id,branch_index,rupture_set_id,source_index,source_id,source_name,source_type,rupture_index,magnitude,raw_annual_rate,top_depth_km,width_km,centroid_longitude,centroid_latitude,centroid_depth_km
51,EVT_00000073,11a05de6ea6162c5a889f54e,3199,8,3110,0,3110,"Cascadia (segmented, 1, bottom)",INTERFACE,0,8.42,0.0001452232,5.349014,140.0,-124.3429400901236,42.029223291584,17.32548624359387
52,EVT_00000074,808c9c79068c568c7cded4d3,3199,0,3172,0,3172,"Cascadia (unsegmented, 1-2-3-4, top)",INTERFACE,2153,8.5,2.721426816580953e-07,5.0,85.0,,,
53,EVT_00000076,fa6668c0bbc949387a94d935,8231,0,8211,688,8211,"PointSourceFinite: -122.400, 45.500",SLAB,5,7.05,2.1212171580903425e-07,60.0,8.0,-122.4,45.5,60.0
54,EVT_00000077,cc17749fc76fb484a69e21c1,8231,0,8211,535,8211,"PointSourceFinite: -123.600, 44.700",SLAB,1,6.65,8.044846838186574e-07,42.0,8.0,-123.6,44.7,42.0
55,EVT_00000078,25b84d2d2fe0baaa135dcbd4,3199,4,3152,0,3152,"Cascadia (segmented, 1-2, top)",INTERFACE,2,8.52,0.0001303029,5.21813375,60.0,-124.87047509247918,42.66758098544125,9.463388718238386
56,EVT_00000079,83e3fe7f0232bb9f28069fd8,3199,3,3140,0,3140,"Cascadia (segmented, 4, bottom)",INTERFACE,1,8.64,0.000333,5.0,165.0,-125.46840644942826,48.04950467399375,18.734828487964784
57,EVT_00000081,ede968e487978156e232f910,3199,0,3172,0,3172,"Cascadia (unsegmented, 1-2-3-4, top)",INTERFACE,1574,8.1,5.484180471627536e-07,5.0,85.0,,,
58,EVT_00000082,6d0e9f88273a71c946702d56,8231,0,8211,716,8211,"PointSourceFinite: -123.000, 45.700",SLAB,4,6.95,3.7327694820865467e-07,50.0,8.0,-123.0,45.7,50.0
59,EVT_00000083,2c4db078b7b7fea767eeecf5,8231,0,8211,602,8211,"PointSourceFinite: -122.300, 45.000",SLAB,1,6.65,3.381400901591956e-07,60.0,8.0,-122.3,45.0,60.0
60,EVT_00000085,6e23069ed60bb20003a395c3,8231,0,8211,553,8211,"PointSourceFinite: -123.600, 44.800",SLAB,4,6.95,6.595833113667066e-07,42.0,8.0,-123.6,44.8,42.0
61,EVT_00000086,73ee5e97c0d06f439f624635,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,442,8.4,8.56164357917674e-07,5.0,80.0,,,
62,EVT_00000087,e666df024b0416f30195098a,8231,0,8211,747,8211,"PointSourceFinite: -123.200, 45.900",SLAB,6,7.15,2.5098642570673946e-07,50.0,8.0,-123.2,45.9,50.0
63,EVT_00000088,025ff898638335bdd2b146b1,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,849,8.2,8.473124973075812e-07,5.0,80.0,,,
64,EVT_00000089,0f563ea686ecefb0926caf7f,8231,1,8212,17,8212,"PointSourceFinite: -122.600, 42.100",SLAB,0,7.25,7.984705533700488e-09,50.0,8.0,-122.6,42.1,50.0
65,EVT_00000090,c697e7ed561f46e4856aac52,8231,0,8211,513,8211,"PointSourceFinite: -123.900, 44.600",SLAB,6,7.15,3.934136103075809e-07,42.0,8.0,-123.9,44.6,42.0
66,EVT_00000091,b01a211329b90dd704bd490e,3199,8,3110,0,3110,"Cascadia (segmented, 1, bottom)",INTERFACE,1,8.5,0.0001447884,5.349014,140.0,-124.3429400901236,42.029223291584,17.32548624359387
67,EVT_00000093,a287254bdb97c220bad0db57,3199,0,3172,0,3172,"Cascadia (unsegmented, 1-2-3-4, top)",INTERFACE,1641,8.2,4.5090898979526244e-07,5.0,85.0,,,
68,EVT_00000097,7b5aadb411e5b56cbb6efc8b,8231,0,8211,617,8211,"PointSourceFinite: -122.600, 45.100",SLAB,5,7.05,3.475991658181137e-07,50.0,8.0,-122.6,45.1,50.0
69,EVT_00000098,74c1f5902413a3e1a3d34316,8231,0,8211,525,8211,"PointSourceFinite: -122.700, 44.600",SLAB,3,6.85,4.001275098979269e-07,50.0,8.0,-122.7,44.6,50.0
70,EVT_00000100,fbaebb9371e8f5c48cf616ea,3199,1,3160,0,3160,"Cascadia (unsegmented, 1-2-3, bottom)",INTERFACE,585,8.7,1.8382352390585351e-06,5.0,145.0,,,
71,EVT_00000101,5abcbab8858d8ee63441dc77,3199,1,3160,0,3160,"Cascadia (unsegmented, 1-2-3, bottom)",INTERFACE,888,8.3,7.379159742457803e-07,5.186022888838834,145.0,,,
72,EVT_00000103,e59c367a8f79f51bdf09d6b8,8231,0,8211,358,8211,"PointSourceFinite: -123.900, 43.800",SLAB,6,7.15,9.278163450200465e-08,42.0,8.0,-123.9,43.8,42.0
73,EVT_00000104,7b0e36fdaf401289c645af34,8231,0,8211,199,8211,"PointSourceFinite: -123.300, 43.000",SLAB,0,6.55,2.633765393478808e-07,42.0,8.0,-123.3,43.0,42.0
74,EVT_00000106,0be02194a450197d52fde1fa,8231,0,8211,643,8211,"PointSourceFinite: -123.500, 45.300",SLAB,4,6.95,6.924119554555634e-07,42.0,8.0,-123.5,45.3,42.0
75,EVT_00000109,50259aa66d072aab73c80c8d,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,116,8.1,6.443298776081463e-07,5.052892089383357,80.0,,,
76,EVT_00000110,38139c9b654b5b2ba13def87,8231,0,8211,661,8211,"PointSourceFinite: -123.400, 45.400",SLAB,1,6.65,8.510621134631359e-07,42.0,8.0,-123.4,45.4,42.0
77,EVT_00000112,23af33ff7880592aff5c38e6,3199,15,3170,0,3170,"Cascadia (unsegmented, 1-2-3-4, bottom)",INTERFACE,748,8.4,3.9556960840500123e-07,5.0,155.0,,,
78,EVT_00000113,17900605c26b5e0b17e9a662,8231,0,8211,744,8211,"PointSourceFinite: -123.500, 45.900",SLAB,3,6.85,3.569059166435996e-07,42.0,8.0,-123.5,45.9,42.0
79,EVT_00000114,a86dc644a083c40e7753d424,3199,14,3112,0,3112,"Cascadia (segmented, 1, top)",INTERFACE,1,8.13,0.0001447884,5.349014,60.0,-124.80867568233194,42.02072601140531,9.26663316514785
80,EVT_00000116,d19fe0fab7ad50eb77bdcd2e,8231,0,8211,715,8211,"PointSourceFinite: -123.100, 45.700",SLAB,3,6.85,4.419983812536138e-07,50.0,8.0,-123.1,45.7,50.0
81,EVT_00000118,41bf82f16ea2b18ac2241cb0,3199,5,3160,0,3160,"Cascadia (segmented, 1-2-3, bottom)",INTERFACE,1,8.77,5.79087e-05,5.174507,145.0,-124.45345624957775,43.325971943028,17.751274495671908
82,EVT_00000120,9ed79c00b33f4d1c93ed40e9,8231,0,8211,464,8211,"PointSourceFinite: -123.100, 44.300",SLAB,0,6.55,4.6995687312592653e-07,50.0,8.0,-123.1,44.3,50.0
83,EVT_00000123,a42e1d3a38564fffcad0f785,8231,0,8211,644,8211,"PointSourceFinite: -123.400, 45.300",SLAB,2,6.75,8.252323478939546e-07,42.0,8.0,-123.4,45.3,42.0
84,EVT_00000124,6a7252b9b47550c370a717ee,8231,0,8211,369,8211,"PointSourceFinite: -122.800, 43.800",SLAB,5,7.05,9.665421991166025e-08,50.0,8.0,-122.8,43.8,50.0
85,EVT_00000125,0304608d65f31ad336e36273,8231,0,8211,6,8211,"PointSourceFinite: -123.700, 42.100",SLAB,3,6.85,5.740205539270299e-07,42.0,8.0,-123.7,42.1,42.0
86,EVT_00000126,8c078d1b0c656f29357251cd,8231,0,8211,597,8211,"PointSourceFinite: -122.800, 45.000",SLAB,6,7.15,4.064263148449602e-07,50.0,8.0,-122.8,45.0,50.0
87,EVT_00000127,811357f789149735d8893801,3199,13,3172,0,3172,"Cascadia (full, top)",INTERFACE,0,8.61,0.0006346,5.091845789473684,85.0,-125.26684506684153,45.06951187159024,11.059411725958665
88,EVT_00000129,ca5226948d2881de37ac33bf,8231,0,8211,663,8211,"PointSourceFinite: -123.200, 45.400",SLAB,0,6.55,8.669088335813628e-07,50.0,8.0,-123.2,45.4,50.0
89,EVT_00000131,62479efe1000a1916a6a59b7,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,254,8.2,6.868131662416505e-07,5.0,80.0,,,
